,Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF,Class
208,AB Agarkar (INDIA),2001-2003,3,37,11.864864864864865,95,18.29,92.22,0.0,0.027027027027027032,0.10294117647058824,NRS
209,ES Szwarczynski (NL),2006-2008,3,13,30.30769230769231,56,32.83,69.61,0.0,0.3076923076923077,0.07243816254416961,NRS
210,RM Haq (SCOT),2006-2008,3,18,21.0,71,21.0,68.1,0.0,0.16666666666666666,0.08828828828828829,NRS
211,DS Smith (WI),2004-2007,4,14,25.57142857142857,61,29.83,65.8,0.0,0.07142857142857142,0.07352941176470587,NRS
212,DJG Sammy (WI),2007-2009,3,22,15.954545454545455,51,20.64,87.31,0.0,0.045454545454545456,0.0845771144278607,NRS
213,SD Outerbridge (BMUDA),2006-2009,4,23,14.608695652173912,56,14.6,54.9,0.0,0.043478260869565216,0.052287581699346414,NRS
214,F Mutizwa (ZIM),2009-2011,3,12,27.33333333333333,79,32.8,86.08,0.0,0.25,0.09186351706036744,RS
215,NN Odhiambo (KENYA),2006-2009,4,28,11.285714285714285,66,14.36,76.88,0.0,0.03571428571428571,0.0851581508515815,NRS
216,DLS van Bunge (NL),2006-2008,3,15,19.666666666666668,52,21.07,63.44,0.0,0.06666666666666668,0.06881720430107527,NRS
217,ID Blackwell (ENG),2002-2004,3,17,16.588235294117652,82,17.62,94.31,0.0,0.05882352941176471,0.10702341137123746,NRS
218,J Mubarak (SL),2003-2006,4,15,18.8,61,18.8,61.03,0.0,0.13333333333333333,0.0735930735930736,NRS
219,BJ Patel (KENYA),2001-2003,3,16,17.375,44,18.53,53.66,0.0,0.0,0.08494208494208494,NRS
220,R Ashwin (INDIA),2010-2012,3,22,12.0,38,18.85,86.55,0.0,0.0,0.07540983606557378,NRS
221,Jahurul Islam (BDESH),2010-2012,3,11,22.181818181818183,53,24.4,69.31,0.0,0.09090909090909093,0.06534090909090909,NRS
222,DNT Zoysa (SL),2001-2004,4,24,9.541666666666666,47,19.08,106.01,0.0,0.0,0.12037037037037035,NRS
223,Mudassar Bukhari (NL),2007-2009,3,11,18.818181818181817,71,20.7,66.34,0.0,0.18181818181818185,0.08333333333333333,NRS
224,J Botha (Afr/SA),2005-2008,4,14,11.571428571428573,46,18.0,86.63,0.0,0.0,0.08021390374331551,NRS
225,R Rampaul (WI),2007-2010,4,15,8.666666666666666,26,9.28,82.8,0.0,0.0,0.10191082802547773,NRS
226,M Morkel (Afr/SA),2007-2010,4,10,10.2,25,14.57,94.44,0.0,0.0,0.12037037037037035,NRS
227,BAW Mendis (SL),2008-2011,4,22,4.5,15,7.61,68.75,0.0,0.0,0.04861111111111111,NRS
228,Wahab Riaz (PAK),2008-2011,4,15,5.333333333333333,21,7.27,86.02,0.0,0.0,0.0967741935483871,NRS
229,Iftikhar Anjum (PAK),2004-2006,3,12,6.25,19,75.0,58.13,0.0,0.0,0.02325581395348837,NRS
230,CD Collymore (WI),2001-2003,3,17,2.588235294117647,8,4.4,36.66,0.0,0.0,0.0,NRS
231,FH Edwards (WI),2004-2008,5,12,3.333333333333333,12,10.0,43.47,0.0,0.0,0.03260869565217391,NRS
232,M Ntini (SA),2001-2003,3,11,3.636363636363636,14,5.0,59.7,0.0,0.0,0.07462686567164177,NRS
233,Yasir Hameed (PAK),2003-2005,3,46,37.10869565217392,127,37.93,68.47,0.06521739130434782,0.1956521739130435,0.07741676694745286,NRS
234,CD McMillan (NZ),2001-2003,3,58,28.689655172413797,105,30.25,77.72,0.03448275862068965,0.15517241379310345,0.07566557683325549,RS
235,WW Hinds (WI),2001-2003,3,49,27.693877551020414,125,30.15,74.51,0.040816326530612235,0.1836734693877551,0.08621636463481604,RS
236,HJH Marshall (NZ),2003-2006,4,47,26.36170212765957,101,30.97,72.71,0.02127659574468085,0.23404255319148934,0.0534037558685446,NRS
237,MV Boucher (SA),2001-2003,3,54,21.407407407407412,70,28.9,82.86,0.0,0.12962962962962962,0.07526881720430108,RS
238,JD Ryder (NZ),2008-2011,4,30,34.7,107,35.89,90.99,0.06666666666666668,0.16666666666666666,0.1215034965034965,RS
239,SE Marsh (AUS),2008-2010,3,27,37.333333333333336,112,38.76,76.53,0.037037037037037035,0.25925925925925924,0.07972665148063783,RS
240,HM Amla (SA),2008-2010,3,23,42.130434782608695,140,48.45,84.18,0.043478260869565216,0.3043478260869565,0.09035621198957428,RS
241,Asad Shafiq (PAK),2010-2012,3,34,27.35294117647059,78,30.0,69.81,0.0,0.2058823529411765,0.06381381381381382,NRS
242,PD Collingwood (ENG),2001-2003,3,37,23.621621621621625,100,32.37,77.0,0.027027027027027032,0.13513513513513514,0.058149779735682826,NRS
243,TD Paine (AUS),2009-2011,3,26,28.34615384615385,111,29.48,68.87,0.038461538461538464,0.19230769230769232,0.08504672897196262,NRS
244,Saleem Elahi (PAK),2001-2003,3,18,40.5,135,40.5,76.25,0.16666666666666666,0.16666666666666666,0.08577405857740586,RS
245,JM How (NZ),2005-2008,4,18,39.888888888888886,139,42.23,72.96,0.05555555555555555,0.3333333333333333,0.08841463414634146,RS
246,NJ O'Brien (IRE),2006-2008,3,29,24.41379310344828,72,25.28,64.89,0.0,0.2413793103448276,0.060494958753437224,NRS
247,CJ Ferguson (AUS),2009-2011,3,25,26.52,71,41.43,85.32,0.0,0.2,0.08236808236808238,RS
248,PA Patel (INDIA),2010-2012,3,24,25.16666666666667,95,27.45,82.06,0.0,0.16666666666666666,0.09918478260869563,RS
249,HK Badani (INDIA),2001-2003,3,21,21.761904761904763,100,26.88,70.96,0.047619047619047616,0.047619047619047616,0.06987577639751552,NRS
250,Mohammad Nabi (AFG),2009-2011,3,16,26.8125,62,35.75,97.5,0.0,0.25,0.1068181818181818,NRS
251,N Deonarine (WI),2007-2010,4,15,27.93333333333333,65,34.91,76.04,0.0,0.26666666666666666,0.07259528130671508,NRS
252,CA Ingram (SA),2010-2012,3,13,29.84615384615385,124,35.27,90.02,0.15384615384615385,0.0,0.09744779582366588,NRS
253,Javed Omar (BDESH),2001-2003,3,17,18.58823529411765,69,19.75,45.86,0.0,0.1176470588235294,0.04644412191582003,NRS
254,SR Patel (ENG),2008-2011,4,13,23.538461538461537,70,27.81,91.89,0.0,0.07692307692307693,0.08708708708708708,RS
255,MN Waller (ZIM),2009-2011,3,18,16.27777777777778,63,17.23,76.1,0.0,0.1111111111111111,0.08831168831168831,NRS
256,B Lee (AUS),2001-2003,3,23,10.91304347826087,51,14.76,79.68,0.0,0.043478260869565216,0.06349206349206349,NRS
257,S Randiv (SL),2009-2011,3,15,15.933333333333335,56,17.07,71.55,0.0,0.06666666666666668,0.0748502994011976,NRS
258,BJ Watling (NZ),2010-2012,3,10,23.5,72,26.11,71.21,0.0,0.3,0.07272727272727272,RS
259,JA Morkel (Afr/SA),2005-2008,4,11,17.818181818181817,97,17.81,89.9,0.0,0.09090909090909093,0.1146788990825688,NRS
260,Mushfiqur Rahman (BDESH),2001-2003,3,11,15.545454545454545,36,19.0,55.51,0.0,0.0,0.05844155844155844,NRS
261,PJ Ongondo (KENYA),2001-2003,3,17,8.294117647058824,36,10.84,77.9,0.0,0.0,0.06629834254143646,NRS
262,Naved-ul-Hasan (PAK),2003-2005,3,14,10.0,29,17.5,73.68,0.0,0.0,0.07368421052631577,NRS
263,RJ Peterson (SA),2002-2006,5,10,9.8,36,10.88,66.21,0.0,0.0,0.060810810810810814,NRS
264,Saqlain Mushtaq (PAK),2001-2003,3,22,4.227272727272728,13,10.33,44.28,0.0,0.0,0.023809523809523808,NRS
265,MG Johnson (AUS),2005-2008,4,18,5.111111111111111,24,9.2,73.01,0.0,0.0,0.05555555555555555,NRS
266,DW Steyn (SA),2007-2010,4,12,6.833333333333332,35,11.71,102.5,0.0,0.0,0.1,NRS
267,BA Murphy (ZIM),2001-2003,3,14,4.714285714285714,20,8.25,55.0,0.0,0.0,0.04166666666666666,NRS
268,SJ Harmison (ENG),2002-2005,4,14,3.8571428571428568,13,10.8,58.69,0.0,0.0,0.021739130434782608,NRS
