,Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF,Class
44,Imrul Kayes (BDESH),2008-2010,3,30,29.8,101,29.8,65.35,0.03333333333333333,0.2,0.07017543859649122,NRS
45,RA Jadeja (INDIA),2009-2012,4,40,21.5,78,28.66,78.61,0.0,0.125,0.06672760511882997,NRS
46,BB McCullum (NZ),2002-2005,4,51,16.686274509803926,56,22.39,71.51,0.0,0.05882352941176471,0.07226890756302523,NRS
47,CJ Chibhabha (ZIM),2006-2010,5,41,20.170731707317074,73,20.17,58.69,0.0,0.14634146341463414,0.048970901348474094,NRS
48,AD Mathews (SL),2008-2011,4,32,24.875,77,34.6,85.13,0.0,0.1875,0.06844919786096257,NRS
49,RV Uthappa (INDIA),2006-2008,3,34,23.117647058823533,86,27.1,91.92,0.0,0.14705882352941174,0.1286549707602339,RS
50,DR Smith (WI),2004-2007,4,52,14.769230769230768,68,15.36,101.58,0.0,0.038461538461538464,0.12962962962962962,NRS
51,Imran Farhat (PAK),2003-2006,4,22,34.54545454545455,107,36.19,72.58,0.045454545454545456,0.18181818181818185,0.0936007640878701,RS
52,Mahmudullah (BDESH),2007-2010,4,33,22.90909090909091,64,34.36,71.93,0.0,0.12121212121212123,0.057088487155090385,NRS
53,RS Bopara (ENG),2007-2009,3,34,21.970588235294123,60,28.73,71.62,0.0,0.1176470588235294,0.07478427612655801,NRS
54,Kamran Akmal (PAK),2002-2005,4,28,26.285714285714285,124,32.0,91.65,0.10714285714285714,0.0,0.1133250311332503,NRS
55,Rajin Saleh (BDESH),2004-2006,3,35,21.02857142857143,108,21.64,53.84,0.028571428571428567,0.11428571428571427,0.0548646671543526,NRS
56,KA Pollard (WI),2008-2011,4,34,21.058823529411768,94,21.05,104.22,0.0,0.08823529411764706,0.11353711790393012,NRS
57,AN Cook (ENG),2006-2008,3,23,30.52173913043478,102,30.52,68.15,0.043478260869565216,0.13043478260869565,0.07475728155339806,NRS
58,H Masakadza (ZIM),2004-2007,4,36,19.33333333333333,75,20.47,64.44,0.0,0.1388888888888889,0.060185185185185175,NRS
59,Nasir Hossain (BDESH),2011-2013,3,20,34.45,100,45.93,82.02,0.05,0.2,0.08452380952380953,RS
60,MF Maharoof (SL),2004-2008,5,47,14.595744680851064,69,19.6,84.06,0.0,0.0425531914893617,0.0943627450980392,NRS
61,WTS Porterfield (IRE),2006-2008,3,27,25.37037037037037,112,27.4,59.41,0.07407407407407407,0.07407407407407407,0.05030355594102342,NRS
62,Mashrafe Mortaza (Asia/BDESH),2004-2007,4,42,15.595238095238097,51,19.26,98.34,0.0,0.023809523809523808,0.11561561561561562,NRS
63,Mohammad Shahzad (AFG),2009-2011,3,16,40.75,118,43.46,91.57,0.1875,0.1875,0.11376404494382025,RS
64,JP Duminy (SA),2004-2008,5,24,25.75,79,36.35,73.3,0.0,0.125,0.061684460260972726,NRS
65,KOA Powell (WI),2011-2013,3,20,30.7,83,30.7,79.43,0.0,0.25,0.10219922380336352,RS
66,Imran Nazir (PAK),2002-2004,3,26,23.23076923076923,66,24.16,80.0,0.0,0.15384615384615385,0.11258278145695363,NRS
67,D Ramdin (WI),2005-2009,5,43,13.813953488372093,74,19.8,79.41,0.0,0.04651162790697674,0.07219251336898395,NRS
68,Naeem Islam (BDESH),2008-2010,3,33,16.484848484848484,73,28.63,65.14,0.0,0.030303030303030307,0.06467065868263472,NRS
69,RR Patel (KENYA),2009-2013,5,26,20.26923076923077,92,23.95,65.3,0.0,0.07692307692307693,0.07187112763320942,NRS
