,Player,Span,Years,Inns,NO/I,R/I,Avrg,SR,100/I,50/I,6+4/BF,Class
5,WU Tharanga (Asia/SL),2005-2009,4,73,0.01369863,29.83561644,30.25,70.41,0.08219178099999999,0.123287671,0.085354025,NRS
1,Yuvraj Singh (INDIA),2002-2005,3,99,0.141414141,29.68686869,34.57,85.48,0.050505050999999995,0.181818182,0.09918557300000001,RS
248,DPMD Jayawardene (SL),2001-2004,3,90,0.1,29.66666667,32.96,71.52,0.033333333,0.15555555599999998,0.056790785,NRS
15,BRM Taylor (ZIM),2006-2009,3,62,0.14516129,29.59677419,34.62,72.27,0.016129031999999998,0.193548387,0.067743206,RS
196,Nasir Jamshed (PAK),2012-2015,3,36,0.027777778,29.58333333,30.42,69.51,0.083333333,0.111111111,0.074412533,NRS
43,KOA Powell (WI),2011-2014,3,26,0.0,29.5,29.5,81.85,0.0,0.269230769,0.10885805800000001,NRS
249,Younis Khan (PAK),2001-2004,3,87,0.149425287,29.05747126,34.16,77.02,0.011494253000000001,0.218390805,0.061243144000000006,RS
262,ES Szwarczynski (NL),2006-2009,3,17,0.058823529000000006,29.0,30.81,69.33,0.0,0.294117647,0.064697609,NRS
257,J Charles (WI),2012-2015,3,35,0.0,29.0,29.0,84.44,0.057142857000000005,0.11428571400000001,0.116472546,NRS
247,KC Sangakkara (SL),2001-2004,3,98,0.132653061,28.54081633,32.9,72.51,0.030612245,0.173469388,0.07078039900000001,RS
200,KJ O'Brien (IRE),2006-2009,3,31,0.09677419400000001,28.51612903,31.57,78.29,0.032258065,0.129032258,0.081488043,NRS
131,JC Buttler (ENG),2012-2015,3,52,0.134615385,28.21153846,32.6,113.89,0.038461537999999997,0.134615385,0.12810559,RS
264,N Deonarine (WI),2007-2010,3,15,0.2,27.93333333,34.91,76.04,0.0,0.26666666699999997,0.072595281,RS
67,T Mishra (KENYA),2007-2010,3,11,0.181818182,27.81818182,34.0,78.86,0.0,0.181818182,0.07216494799999999,NRS
35,AA Obanda (KENYA),2008-2011,3,34,0.029411765,27.73529412,28.57,73.84,0.0,0.176470588,0.09475332800000001,NRS
30,Nasir Hossain (BDESH),2011-2015,4,40,0.15,27.525,32.38,80.71,0.025,0.1,0.081378299,NRS
24,MN Samuels (WI),2001-2005,4,45,0.177777778,27.42222222,33.35,77.85,0.022222222000000003,0.177777778,0.092113565,NRS
133,Imrul Kayes (BDESH),2008-2011,3,48,0.020833333,27.39583333,27.97,65.16,0.020833333,0.1875,0.07185332,NRS
4,Shakib Al Hasan (BDESH),2007-2011,4,83,0.120481928,27.18072289,30.9,79.74,0.048192770999999995,0.180722892,0.07670555,NRS
58,Javed Ahmadi (AFG),2012-2015,3,18,0.0,27.16666667,27.16,88.42,0.0,0.27777777800000003,0.12296564199999999,NRS
125,M Kaif (INDIA),2002-2005,3,90,0.233333333,27.01111111,35.23,73.68,0.022222222000000003,0.15555555599999998,0.065474386,RS
193,MDKJ Perera (SL),2013-2016,3,56,0.053571429000000004,26.83928571,28.35,91.59,0.053571429000000004,0.125,0.117611213,NRS
138,T Taibu (Afr/ZIM),2004-2008,4,37,0.081081081,26.54054054,28.88,68.76,0.027027027000000002,0.135135135,0.05952381,NRS
64,Noor Ali Zadran (AFG),2009-2012,3,14,0.071428571,26.5,28.53,70.66,0.071428571,0.071428571,0.068571429,NRS
254,HJH Marshall (NZ),2003-2006,3,47,0.14893617,26.36170213,30.97,72.71,0.021276596000000002,0.23404255300000001,0.053403756,NRS
197,C Kieswetter (ENG),2010-2013,3,40,0.125,26.35,30.11,89.93,0.025,0.125,0.11774744,NRS
46,Kamran Akmal (PAK),2002-2005,3,28,0.17857142899999998,26.28571429,32.0,91.65,0.107142857,0.0,0.11332503099999999,NRS
