,Player,Span,Years,Inns,NO/I,R/I,Avrg,SR,100/I,50/I,6+4/BF,Class
171,Umar Gul (PAK),2006-2009,3,18,0.38888888899999996,6.166666667,10.09,70.7,0.0,0.0,0.082802548,NRS
78,Mohammad Sami (PAK),2001-2004,3,33,0.545454545,5.909090909,13.0,61.9,0.0,0.0,0.038095238,NRS
99,PM Seelaar (NL),2007-2011,4,16,0.5,5.6875,11.37,55.15,0.0,0.0,0.060606060999999996,NRS
230,SI Mahmood (ENG),2004-2007,3,15,0.26666666699999997,5.666666667,7.72,84.15,0.0,0.0,0.089108911,RS
88,KAJ Roach (WI),2008-2012,4,25,0.52,5.52,11.5,48.59,0.0,0.0,0.042253520999999995,NRS
98,RP Singh (INDIA),2006-2009,3,17,0.41176470600000004,5.470588235,9.3,40.08,0.0,0.0,0.021551723999999998,NRS
232,Wahab Riaz (PAK),2008-2011,3,15,0.26666666699999997,5.333333333,7.27,86.02,0.0,0.0,0.09677419400000001,RS
226,TL Chatara (ZIM),2013-2016,3,20,0.5,5.25,10.5,57.69,0.0,0.0,0.06043956,NRS
237,TA Boult (NZ),2012-2015,3,10,0.6,5.2,13.0,75.36,0.0,0.0,0.101449275,RS
281,MG Johnson (AUS),2005-2008,3,18,0.444444444,5.1111111110000005,9.2,73.01,0.0,0.0,0.055555556,NRS
228,BAW Mendis (SL),2008-2011,3,22,0.409090909,4.5,7.61,68.75,0.0,0.0,0.048611111,NRS
102,SL Malinga (SL),2004-2007,3,17,0.470588235,4.117647058999999,7.77,65.42,0.0,0.0,0.046728972,NRS
224,DR Tuffey (NZ),2001-2004,3,35,0.485714286,4.085714286,7.94,60.08,0.0,0.0,0.058823529000000006,NRS
96,Shafiul Islam (BDESH),2010-2013,3,27,0.296296296,4.037037037,5.73,55.89,0.0,0.0,0.066666667,NRS
173,DT Hondo (ZIM),2001-2004,3,22,0.454545455,3.8636363639999995,7.08,44.27,0.0,0.0,0.057291667000000004,NRS
285,SJ Harmison (ENG),2002-2005,3,14,0.642857143,3.857142857,10.8,58.69,0.0,0.0,0.02173913,NRS
176,A Nehra (INDIA),2001-2004,3,16,0.625,3.8125,10.16,72.61,0.0,0.0,0.095238095,RS
233,ST Finn (ENG),2011-2015,4,21,0.428571429,3.761904762,6.58,48.76,0.0,0.0,0.043209877,NRS
104,JM Anderson (ENG),2002-2006,4,19,0.473684211,3.631578947,6.9,36.5,0.0,0.0,0.021164021,NRS
238,MM Patel (INDIA),2006-2009,3,15,0.533333333,3.4666666669999997,7.42,66.66,0.0,0.0,0.076923077,NRS
286,UT Yadav (INDIA),2011-2014,3,12,0.75,3.416666667,13.66,67.21,0.0,0.0,0.11475409800000001,NRS
113,I Sharma (INDIA),2008-2011,3,10,0.2,3.4,4.25,33.33,0.0,0.0,0.029411765,NRS
174,CRD Fernando (SL),2001-2004,3,24,0.541666667,3.375,7.36,52.59,0.0,0.0,0.045454545,NRS
103,Shahadat Hossain (BDESH),2006-2010,4,21,0.571428571,3.333333333,7.77,55.11,0.0,0.0,0.062992126,NRS
243,JO Ngoche (KENYA),2010-2013,3,11,0.363636364,3.1818181819999998,5.0,41.17,0.0,0.0,0.023529412000000003,NRS
105,Syed Rasel (BDESH),2005-2008,3,18,0.333333333,3.111111111,4.66,40.28,0.0,0.0,0.035971223,NRS
244,Mohammad Asif (Asia/PAK),2005-2008,3,11,0.454545455,3.0,5.5,42.85,0.0,0.0,0.025974026,NRS
284,CD Collymore (WI),2001-2004,3,19,0.42105263200000004,2.947368421,5.09,38.88,0.0,0.0,0.013888889,NRS
115,KM Jarvis (ZIM),2009-2012,3,10,0.4,2.9,4.83,37.66,0.0,0.0,0.025974026,NRS
109,E Otieno (KENYA),2008-2011,3,15,0.4,2.666666667,4.44,33.61,0.0,0.0,0.025210084,NRS
179,Junaid Khan (PAK),2011-2014,3,20,0.5,2.55,5.1,51.0,0.0,0.0,0.04,NRS
106,Rubel Hossain (BDESH),2010-2013,3,18,0.5555555560000001,2.388888889,5.37,56.57,0.0,0.0,0.065789474,NRS
182,S Sreesanth (INDIA),2005-2008,3,13,0.46153846200000004,2.230769231,4.14,34.52,0.0,0.0,0.011904762,NRS
186,Shapoor Zadran (AFG),2009-2012,3,10,0.5,2.0,4.0,40.81,0.0,0.0,0.06122449,NRS
184,EC Rainsford (ZIM),2006-2009,3,16,0.6875,1.6875,5.4,29.34,0.0,0.0,0.0,NRS
119,CB Mpofu (ZIM),2006-2009,3,16,0.5,0.875,1.75,21.87,0.0,0.0,0.015625,NRS
120,Nazmul Hossain (BDESH),2008-2011,3,10,0.6,0.5,1.25,13.88,0.0,0.0,0.0,NRS
