id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
18,LD Chandimal (SL),2010-2013,3,61,25.39344262,111,30.37,73.2,0.032786885,0.147540984,0.064744802,NRS
19,EJG Morgan (ENG/IRE),2007-2010,3,49,30.08163265,115,37.79,80.1,0.06122449,0.163265306,0.091304348,RS
20,Mushfiqur Rahim (BDESH),2007-2011,4,68,19.83823529,98,23.66,69,0,0.088235294,0.061892583,NRS
21,Raqibul Hasan (BDESH),2008-2011,3,54,24.22222222,89,27.82,61.32,0,0.148148148,0.051570558,NRS
22,RG Sharma (INDIA),2007-2011,4,57,21.89473684,114,27.13,75.72,0.035087719,0.087719298,0.061893204,NRS
23,CK Kapugedera (SL),2007-2011,4,57,21.73684211,95,24.29,71.24,0,0.105263158,0.061529615,NRS
24,MN Samuels (WI),2001-2005,4,45,27.42222222,108,33.35,77.85,0.022222222,0.177777778,0.092113565,RS
25,V Sibanda (Afr/ZIM),2003-2007,4,53,22.98113208,116,23.88,61.95,0.018867925,0.150943396,0.077314344,NRS
26,Junaid Siddique (BDESH),2007-2011,4,53,22.56603774,100,23,68.22,0.018867925,0.113207547,0.071306332,NRS
27,DD Ebrahim (ZIM),2001-2004,3,63,18.46031746,121,19.71,57.34,0.015873016,0.031746032,0.043392505,NRS
28,S Matsikenyeri (ZIM),2003-2007,4,58,19.84482759,89,21.31,65.99,0,0.086206897,0.075688073,NRS
29,IK Pathan (INDIA),2004-2008,4,58,19.84482759,83,24.48,78.78,0,0.086206897,0.095824778,NRS
30,Nasir Hossain (BDESH),2011-2015,4,40,27.525,100,32.38,80.71,0.025,0.1,0.081378299,RS
31,DM Bravo (WI),2009-2013,4,44,24.95454545,86,28.89,67.69,0,0.159090909,0.069667078,NRS
32,PR Stirling (IRE),2010-2014,4,29,36.44827586,177,36.44,104.44,0.172413793,0.034482759,0.147233202,RS
33,DJ Bravo (WI),2004-2007,3,55,18.03636364,112,24.19,79.1,0.018181818,0.036363636,0.074162679,NRS
34,HDRL Thirimanne (SL),2010-2013,3,38,26.05263158,102,29.11,67.71,0.026315789,0.157894737,0.051983584,NRS
35,AA Obanda (KENYA),2008-2011,3,34,27.73529412,96,28.57,73.84,0,0.176470588,0.094753328,RS
36,SC Williams (ZIM),2006-2009,3,36,25.80555556,75,30.96,72.46,0,0.277777778,0.059282371,RS
37,RA Jadeja (INDIA),2009-2012,3,40,21.5,78,28.66,78.61,0,0.125,0.066727605,RS
38,BB McCullum (NZ),2002-2005,3,51,16.68627451,56,22.39,71.51,0,0.058823529,0.072268908,NRS
39,TWM Latham (NZ),2012-2016,4,34,24.64705882,110,28.89,73.83,0.029411765,0.117647059,0.07753304,RS
40,CJ Chibhabha (ZIM),2006-2010,4,41,20.17073171,73,20.17,58.69,0,0.146341463,0.048970901,NRS
41,AD Mathews (SL),2008-2011,3,32,24.875,77,34.6,85.13,0,0.1875,0.068449198,RS
42,DR Smith (WI),2004-2007,3,52,14.76923077,68,15.36,101.58,0,0.038461538,0.12962963,NRS
43,KOA Powell (WI),2011-2014,3,26,29.5,83,29.5,81.85,0,0.269230769,0.108858058,RS
44,Imran Farhat (PAK),2003-2006,3,22,34.54545455,107,36.19,72.58,0.045454545,0.181818182,0.093600764,RS
45,Mahmudullah (BDESH),2007-2010,3,33,22.90909091,64,34.36,71.93,0,0.121212121,0.057088487,NRS
46,Kamran Akmal (PAK),2002-2005,3,28,26.28571429,124,32,91.65,0.107142857,0,0.113325031,RS
47,KA Pollard (WI),2008-2011,3,34,21.05882353,94,21.05,104.22,0,0.088235294,0.113537118,RS
48,H Masakadza (ZIM),2004-2007,3,36,19.33333333,75,20.47,64.44,0,0.138888889,0.060185185,NRS
49,MF Maharoof (SL),2004-2008,4,47,14.59574468,69,19.6,84.06,0,0.042553191,0.094362745,NRS
50,Mashrafe Mortaza (Asia/BDESH),2004-2007,3,42,15.5952381,51,19.26,98.34,0,0.023809524,0.115615616,NRS
51,JP Duminy (SA),2004-2008,4,24,25.75,79,36.35,73.3,0,0.125,0.06168446,RS
52,D Ramdin (WI),2005-2009,4,43,13.81395349,74,19.8,79.41,0,0.046511628,0.072192513,NRS
53,Mominul Haque (BDESH),2012-2015,3,24,22.625,60,23.6,74.58,0,0.125,0.082417582,RS
54,RR Patel (KENYA),2009-2013,4,26,20.26923077,92,23.95,65.3,0,0.076923077,0.071871128,NRS
55,P Utseya (ZIM),2005-2009,4,53,9.679245283,68,14.25,53.21,0,0.037735849,0.037344398,NRS
56,TJ Friend (ZIM),2001-2004,3,32,15.96875,91,17.03,78.37,0,0.09375,0.090490798,NRS
57,NLTC Perera (SL),2009-2013,4,39,12.97435897,69,15.81,110.48,0,0.025641026,0.120087336,NRS
58,Javed Ahmadi (AFG),2012-2015,3,18,27.16666667,81,27.16,88.42,0,0.277777778,0.122965642,RS
59,BG Rogers (ZIM),2002-2005,3,15,31.86666667,84,31.86,69.37,0,0.333333333,0.089985486,NRS
60,Taufeeq Umar (PAK),2001-2005,4,19,23.52631579,81,24.83,57.45,0,0.157894737,0.061696658,NRS
61,Rahmat Shah (AFG),2013-2016,3,13,30.92307692,100,33.5,65.79,0.076923077,0.076923077,0.049099836,NRS
62,DA Miller (SA),2010-2013,3,18,21.27777778,67,29.46,101.05,0,0.166666667,0.09762533,RS
63,SPD Smith (AUS),2010-2013,3,22,17.27272727,46,21.11,86.75,0,0,0.068493151,NRS
64,Noor Ali Zadran (AFG),2009-2012,3,14,26.5,114,28.53,70.66,0.071428571,0.071428571,0.068571429,NRS
65,SR Watson (AUS),2002-2005,3,20,17.05,77,31,68.06,0,0.05,0.045908184,NRS
66,SCJ Broad (ENG),2006-2010,4,37,9.135135135,45,14.69,74.12,0,0,0.057017544,NRS
67,T Mishra (KENYA),2007-2010,3,11,27.81818182,66,34,78.86,0,0.181818182,0.072164948,RS
68,BA Stokes (ENG),2011-2014,3,19,14.84210526,70,15.66,75.8,0,0.052631579,0.069892473,NRS
69,R Gunasekera (CAN),2011-2014,3,11,24.36363636,72,24.36,69.25,0,0.363636364,0.07751938,NRS
70,Tapash Baisya (BDESH),2003-2006,3,30,8.166666667,33,11.13,57.37,0,0,0.049180328,NRS
71,NS Poonia (SCOT),2006-2009,3,21,11.28571429,67,11.28,62.86,0,0.047619048,0.087533156,NRS
72,JH Davey (SCOT),2010-2014,4,10,22.6,64,25.11,63.12,0,0.1,0.061452514,NRS
73,P Kumar (INDIA),2007-2010,3,24,9.375,54,13.23,85.22,0,0.041666667,0.09469697,NRS
75,TG Southee (NZ),2008-2012,4,31,6.709677419,32,10.94,88.51,0,0,0.080851064,NRS
76,HS Baidwan (CAN),2008-2011,3,16,12.5625,33,22.33,67,0,0,0.04,NRS
77,CK Coventry (ZIM),2003-2006,3,10,19.9,74,19.9,85.77,0,0.1,0.112068966,RS
78,Mohammad Sami (PAK),2001-2004,3,33,5.909090909,23,13,61.9,0,0,0.038095238,NRS
79,WD Parnell (SA),2009-2012,3,13,14,49,18.2,74.89,0,0,0.065843621,NRS
80,RW Chakabva (ZIM),2008-2011,3,10,17.6,45,19.55,59.45,0,0,0.054054054,NRS
81,KS Lokuarachchi (SL),2003-2006,3,13,13.38461538,69,15.81,78.02,0,0.076923077,0.049327354,NRS
82,ML Nkala (ZIM),2001-2005,4,19,9.105263158,47,11.53,58.44,0,0,0.050675676,NRS
84,Usman Limbada (CAN),2010-2013,3,10,17,50,18.88,68.82,0,0.1,0.076923077,NRS
86,Gulbadin Naib (AFG),2011-2015,4,12,12.66666667,31,15.2,90.47,0,0,0.113095238,NRS
87,CS Baugh (WI),2003-2006,3,11,13.27272727,29,24.33,81.56,0,0,0.094972067,NRS
88,KAJ Roach (WI),2008-2012,4,25,5.52,24,11.5,48.59,0,0,0.042253521,NRS
89,T Mupariwa (ZIM),2006-2009,3,21,6.523809524,33,9.78,52.69,0,0,0.042307692,NRS
90,AF Milne (NZ),2012-2016,4,12,10.83333333,36,21.66,98.48,0,0,0.083333333,NRS
92,JEC Franklin (NZ),2001-2004,3,16,7.25,25,8.92,55.23,0,0,0.047619048,NRS
94,L Balaji (INDIA),2002-2005,3,15,7.533333333,21,12.55,79.57,0,0,0.070422535,NRS
95,GH Dockrell (IRE),2013-2016,3,15,7.533333333,25,16.14,67.26,0,0,0.047619048,NRS
96,Shafiul Islam (BDESH),2010-2013,3,27,4.037037037,24,5.73,55.89,0,0,0.066666667,NRS
98,RP Singh (INDIA),2006-2009,3,17,5.470588235,23,9.3,40.08,0,0,0.021551724,NRS
99,PM Seelaar (NL),2007-2011,4,16,5.6875,34,11.37,55.15,0,0,0.060606061,NRS
102,SL Malinga (SL),2004-2007,3,17,4.117647059,15,7.77,65.42,0,0,0.046728972,NRS
103,Shahadat Hossain (BDESH),2006-2010,4,21,3.333333333,16,7.77,55.11,0,0,0.062992126,NRS
104,JM Anderson (ENG),2002-2006,4,19,3.631578947,12,6.9,36.5,0,0,0.021164021,NRS
105,Syed Rasel (BDESH),2005-2008,3,18,3.111111111,15,4.66,40.28,0,0,0.035971223,NRS
106,Rubel Hossain (BDESH),2010-2013,3,18,2.388888889,15,5.37,56.57,0,0,0.065789474,NRS
109,E Otieno (KENYA),2008-2011,3,15,2.666666667,11,4.44,33.61,0,0,0.025210084,NRS
113,I Sharma (INDIA),2008-2011,3,10,3.4,13,4.25,33.33,0,0,0.029411765,NRS
115,KM Jarvis (ZIM),2009-2012,3,10,2.9,13,4.83,37.66,0,0,0.025974026,NRS
119,CB Mpofu (ZIM),2006-2009,3,16,0.875,4,1.75,21.87,0,0,0.015625,NRS
120,Nazmul Hossain (BDESH),2008-2011,3,10,0.5,3,1.25,13.88,0,0,0,NRS
124,CH Gayle (WI),2001-2004,3,82,42.65853659,153,45.42,79.91,0.109756098,0.256097561,0.107836418,RS
125,M Kaif (INDIA),2002-2005,3,90,27.01111111,111,35.23,73.68,0.022222222,0.155555556,0.065474386,NRS
126,MJ Clarke (AUS),2003-2006,3,71,32.71830986,105,44.67,86.13,0.028169014,0.225352113,0.083796811,NRS
127,Abdul Razzaq (PAK),2001-2004,3,93,24.72043011,112,33.8,86.49,0.021505376,0.107526882,0.089541008,NRS
128,Ahmed Shehzad (PAK),2013-2016,3,56,36.30357143,124,36.3,74.06,0.071428571,0.232142857,0.080874317,NRS
129,LRPL Taylor (NZ),2006-2009,3,54,32.03703704,128,39.31,83.69,0.055555556,0.185185185,0.095307209,RS
130,Shahid Afridi (PAK),2001-2005,4,71,22.5915493,108,23.94,120.23,0.014084507,0.14084507,0.170914543,NRS
131,JC Buttler (ENG),2012-2015,3,52,28.21153846,129,32.6,113.89,0.038461538,0.134615385,0.12810559,NRS
132,IR Bell (ENG),2004-2007,3,40,34.4,88,37.18,69.31,0,0.25,0.063476071,NRS
133,Imrul Kayes (BDESH),2008-2011,3,48,27.39583333,101,27.97,65.16,0.020833333,0.1875,0.07185332,NRS
134,JA Rudolph (Afr/SA),2003-2006,3,39,30.1025641,81,35.57,68.05,0,0.179487179,0.066086957,NRS
135,MR Marsh (AUS),2013-2016,3,38,30.34210526,102,37.19,92.38,0.026315789,0.210526316,0.104166667,RS
136,WTS Porterfield (IRE),2006-2009,3,37,31.08108108,112,33.82,65.86,0.108108108,0.108108108,0.068155785,NRS
137,Aftab Ahmed (BDESH),2006-2010,4,43,23.1627907,92,24.29,83.48,0,0.162790698,0.104777871,RS
138,T Taibu (Afr/ZIM),2004-2008,4,37,26.54054054,107,28.88,68.76,0.027027027,0.135135135,0.05952381,NRS
139,KD Karthik (INDIA),2006-2010,4,34,23.76470588,79,29.92,77.09,0,0.117647059,0.085877863,RS
140,Mohammad Shahzad (AFG),2009-2012,3,21,35.38095238,118,37.15,90.06,0.142857143,0.142857143,0.115151515,RS
141,MW Machan (SCOT),2013-2016,3,22,33.36363636,114,33.36,77.1,0.045454545,0.136363636,0.072478992,RS
142,Naeem Islam (BDESH),2008-2011,3,41,16.36585366,73,24.85,64.08,0,0.048780488,0.063037249,NRS
143,GC Wilson (IRE),2007-2010,3,24,25.29166667,113,27.59,72.26,0.041666667,0.166666667,0.08452381,NRS
144,MA Ouma (KENYA),2004-2007,3,31,19.38709677,58,20.03,59.74,0,0.096774194,0.070576541,NRS
145,JO Holder (WI),2013-2016,3,33,16.21212121,57,22.29,93.69,0,0.060606061,0.112084063,RS
146,Fawad Alam (PAK),2007-2010,3,20,24,64,40,73.05,0,0.15,0.04109589,RS
147,LJ Wright (ENG),2007-2010,3,22,21.22727273,52,23.35,102.41,0,0.090909091,0.131578947,RS
148,Asghar Stanikzai (AFG),2009-2012,3,21,22.0952381,66,25.77,56.44,0,0.142857143,0.0486618,NRS
149,G Gambhir (INDIA),2003-2006,3,16,25.5625,103,25.56,75.88,0.0625,0.0625,0.116883117,RS
150,Harbhajan Singh (INDIA),2001-2005,4,44,9.068181818,41,12.09,78.69,0,0,0.08678501,NRS
151,RD Berrington (SCOT),2008-2011,3,18,21.5,84,22.76,81.3,0,0.166666667,0.079831933,RS
152,Alok Kapali (BDESH),2005-2008,3,20,17.8,115,18.73,78.24,0.05,0.05,0.079120879,RS
153,A Bagai (CAN),2003-2007,4,19,18.73684211,64,22.25,55.53,0,0.157894737,0.060842434,NRS
154,DL Vettori (NZ),2001-2004,3,44,7.75,30,11.36,69.73,0,0,0.051124744,NRS
155,TT Bresnan (ENG),2006-2009,3,14,18.07142857,80,31.62,95.47,0,0.071428571,0.113207547,RS
156,CO Obuya (KENYA),2002-2006,4,17,14.82352941,45,15.75,58.19,0,0,0.03926097,NRS
157,LMP Simmons (WI),2006-2009,3,14,17.71428571,70,20.66,57.8,0,0.142857143,0.065268065,NRS
158,CL White (AUS),2005-2008,3,12,17.08333333,45,25.62,112.63,0,0,0.10989011,NRS
159,AD Poynter (IRE),2008-2011,3,12,16.66666667,78,22.22,67.34,0,0.166666667,0.067340067,NRS
161,Abdur Razzak (BDESH),2004-2007,3,29,6.206896552,21,12.85,72.28,0,0,0.060240964,NRS
162,JE Taylor (WI),2006-2009,3,25,7.04,43,9.77,86.69,0,0,0.098522167,NRS
163,LE Plunkett (ENG),2006-2010,4,17,9.705882353,29,20.62,97.63,0,0,0.071005917,NRS
164,TC Bastiampillai (CAN),2007-2010,3,11,14.81818182,49,14.81,63.42,0,0,0.105058366,NRS
165,B Kumar (INDIA),2012-2015,3,22,7.318181818,31,9.47,80.5,0,0,0.085,NRS
168,R Clarke (ENG),2003-2006,3,13,11.07692308,39,11.07,62.06,0,0,0.056034483,NRS
169,KD Mills (NZ),2001-2004,3,18,7.222222222,23,11.81,48.68,0,0,0.037453184,NRS
170,HA Varaiya (KENYA),2006-2009,3,20,6.5,34,13,47.44,0,0,0.02189781,NRS
171,Umar Gul (PAK),2006-2009,3,18,6.166666667,27,10.09,70.7,0,0,0.082802548,NRS
172,RT Lyons (SCOT),2006-2009,3,10,8.6,28,28.66,61.42,0,0,0.057142857,NRS
173,DT Hondo (ZIM),2001-2004,3,22,3.863636364,15,7.08,44.27,0,0,0.057291667,NRS
174,CRD Fernando (SL),2001-2004,3,24,3.375,13,7.36,52.59,0,0,0.045454545,NRS
175,SO Ngoche (KENYA),2010-2014,4,11,6.181818182,28,8.5,57.62,0,0,0.042372881,NRS
176,A Nehra (INDIA),2001-2004,3,16,3.8125,24,10.16,72.61,0,0,0.095238095,NRS
179,Junaid Khan (PAK),2011-2014,3,20,2.55,25,5.1,51,0,0,0.04,NRS
182,S Sreesanth (INDIA),2005-2008,3,13,2.230769231,10,4.14,34.52,0,0,0.011904762,NRS
184,EC Rainsford (ZIM),2006-2009,3,16,1.6875,9,5.4,29.34,0,0,0,NRS
186,Shapoor Zadran (AFG),2009-2012,3,10,2,17,4,40.81,0,0,0.06122449,NRS
189,JE Root (ENG),2013-2016,3,73,41.32876712,125,45.71,85.51,0.109589041,0.232876712,0.077097506,RS
190,V Sehwag (INDIA),2001-2004,3,98,30.48979592,130,32.47,94.73,0.06122449,0.142857143,0.145529486,RS
191,MS Dhoni (Asia/INDIA),2004-2007,3,68,33.85294118,183,46.97,98.75,0.044117647,0.191176471,0.111969112,RS
192,MJ Guptill (NZ),2009-2012,3,63,34.14285714,122,37.73,80.62,0.031746032,0.26984127,0.094452774,RS
193,MDKJ Perera (SL),2013-2016,3,56,26.83928571,135,28.35,91.59,0.053571429,0.125,0.117611213,NRS
194,RL Powell (WI),2001-2004,3,62,21.08064516,88,27.22,96.74,0,0.080645161,0.120651369,NRS
195,RS Bopara (ENG),2007-2011,4,47,23.59574468,60,28.43,71.82,0,0.085106383,0.069300518,NRS
196,Nasir Jamshed (PAK),2012-2015,3,36,29.58333333,112,30.42,69.51,0.083333333,0.111111111,0.074412533,NRS
197,C Kieswetter (ENG),2010-2013,3,40,26.35,107,30.11,89.93,0.025,0.125,0.11774744,RS
198,DA Warner (AUS),2009-2012,3,34,30.88235294,163,30.88,81.83,0.058823529,0.147058824,0.092751364,RS
199,CJ Anderson (NZ),2013-2016,3,40,26.175,131,29.91,111.02,0.025,0.1,0.143160127,RS
200,KJ O'Brien (IRE),2006-2009,3,31,28.51612903,142,31.57,78.29,0.032258065,0.129032258,0.081488043,RS
201,JP Faulkner (AUS),2013-2016,3,38,22.97368421,116,39.68,111.77,0.026315789,0.105263158,0.131882202,RS
202,JDP Oram (NZ),2001-2004,3,50,15.72,81,17.86,76.01,0,0.06,0.084139265,NRS
203,AN Cook (ENG),2007-2010,3,24,32.41666667,102,32.41,70.09,0.041666667,0.208333333,0.073873874,NRS
204,AM Rahane (INDIA),2011-2014,3,27,25.44444444,91,25.44,72.16,0,0.185185185,0.074579832,NRS
205,AD Russell (WI),2011-2014,3,28,23.78571429,92,30.27,119.78,0,0.107142857,0.165467626,RS
206,Mohammad Hafeez (PAK),2003-2006,3,35,17.37142857,69,17.88,52.82,0,0.085714286,0.06516073,NRS
207,AM Blignaut (ZIM),2001-2004,3,29,16.55172414,63,21.81,111.36,0,0.137931034,0.134570766,RS
208,MJ Prior (ENG),2004-2007,3,22,21.31818182,52,21.31,72.93,0,0.045454545,0.093312597,NRS
209,Imran Nazir (PAK),2004-2007,3,17,26.11764706,160,26.11,98.88,0.058823529,0.058823529,0.151447661,RS
210,PL Mommsen (SCOT),2010-2013,3,19,21.47368421,91,24,56.04,0,0.157894737,0.049450549,NRS
211,Samiullah Shenwari (AFG),2009-2012,3,16,23.5,82,26.85,62.98,0,0.125,0.060301508,NRS
212,DS Smith (WI),2004-2007,3,14,25.57142857,61,29.83,65.8,0,0.071428571,0.073529412,NRS
213,CR Woakes (ENG),2011-2015,4,24,14.08333333,41,17.78,78.06,0,0,0.057736721,NRS
214,SD Outerbridge (BMUDA),2006-2009,3,23,14.60869565,56,14.6,54.9,0,0.043478261,0.052287582,NRS
215,GEF Barnett (CAN),2006-2009,3,16,20.75,77,20.75,61.59,0,0.0625,0.077922078,NRS
216,PW Borren (NL),2006-2009,3,20,16.15,96,16.15,94.72,0,0.1,0.099706745,RS
217,NN Odhiambo (KENYA),2006-2009,3,28,11.28571429,66,14.36,76.88,0,0.035714286,0.085158151,NRS
218,SP Narine (WI),2011-2014,3,32,8.5,36,10.46,78.61,0,0,0.098265896,NRS
219,Z Khan (INDIA),2001-2004,3,39,6.897435897,34,10.76,74.72,0,0,0.086111111,NRS
220,U Bhatti (CAN),2006-2009,3,21,11.42857143,46,16,76.43,0,0,0.073248408,NRS
221,DNT Zoysa (SL),2001-2004,3,24,9.541666667,47,19.08,106.01,0,0,0.12037037,NRS
223,J Botha (Afr/SA),2005-2008,3,14,11.57142857,46,18,86.63,0,0,0.080213904,NRS
224,DR Tuffey (NZ),2001-2004,3,35,4.085714286,20,7.94,60.08,0,0,0.058823529,NRS
225,R Rampaul (WI),2007-2010,3,15,8.666666667,26,9.28,82.8,0,0,0.101910828,NRS
226,TL Chatara (ZIM),2013-2016,3,20,5.25,23,10.5,57.69,0,0,0.06043956,NRS
227,M Morkel (Afr/SA),2007-2010,3,10,10.2,25,14.57,94.44,0,0,0.12037037,NRS
228,BAW Mendis (SL),2008-2011,3,22,4.5,15,7.61,68.75,0,0,0.048611111,NRS
230,SI Mahmood (ENG),2004-2007,3,15,5.666666667,22,7.72,84.15,0,0,0.089108911,NRS
232,Wahab Riaz (PAK),2008-2011,3,15,5.333333333,21,7.27,86.02,0,0,0.096774194,NRS
233,ST Finn (ENG),2011-2015,4,21,3.761904762,18,6.58,48.76,0,0,0.043209877,NRS
237,TA Boult (NZ),2012-2015,3,10,5.2,21,13,75.36,0,0,0.101449275,NRS
238,MM Patel (INDIA),2006-2009,3,15,3.466666667,15,7.42,66.66,0,0,0.076923077,NRS
243,JO Ngoche (KENYA),2010-2013,3,11,3.181818182,21,5,41.17,0,0,0.023529412,NRS
244,Mohammad Asif (Asia/PAK),2005-2008,3,11,3,6,5.5,42.85,0,0,0.025974026,NRS
247,KC Sangakkara (SL),2001-2004,3,98,28.54081633,103,32.9,72.51,0.030612245,0.173469388,0.070780399,NRS
248,DPMD Jayawardene (SL),2001-2004,3,90,29.66666667,116,32.96,71.52,0.033333333,0.155555556,0.056790785,NRS
249,Younis Khan (PAK),2001-2004,3,87,29.05747126,144,34.16,77.02,0.011494253,0.218390805,0.061243144,NRS
250,HH Dippenaar (SA),2001-2004,3,56,37.25,110,44.38,66.15,0.017857143,0.303571429,0.065334602,NRS
251,KP Pietersen (ENG/ICC),2004-2007,3,45,45.02222222,116,56.27,91.46,0.111111111,0.311111111,0.105643341,RS
252,A Flintoff (ENG),2001-2004,3,56,32.23214286,123,39.23,94.4,0.053571429,0.196428571,0.115585774,RS
253,GJ Maxwell (AUS),2012-2015,3,50,30.7,102,34.88,126.44,0.02,0.24,0.170510708,RS
254,HJH Marshall (NZ),2003-2006,3,47,26.36170213,101,30.97,72.71,0.021276596,0.234042553,0.053403756,RS
255,L Vincent (NZ),2002-2005,3,52,23.42307692,172,27.06,66.01,0.019230769,0.115384615,0.066666667,NRS
256,JD Ryder (NZ),2008-2011,3,30,34.7,107,35.89,90.99,0.066666667,0.166666667,0.121503497,RS
257,J Charles (WI),2012-2015,3,35,29,130,29,84.44,0.057142857,0.114285714,0.116472546,RS
258,TLW Cooper (NL),2010-2013,3,22,44.36363636,101,48.8,70.16,0.045454545,0.363636364,0.061826024,NRS
259,JM How (NZ),2005-2008,3,18,39.88888889,139,42.23,72.96,0.055555556,0.333333333,0.088414634,RS
260,TM Odoyo (KENYA),2001-2004,3,30,20.83333333,53,22.32,64.16,0,0.066666667,0.074948665,NRS
261,AB Agarkar (INDIA),2001-2004,3,44,13.27272727,95,19.46,88.21,0,0.045454545,0.096676737,NRS
262,ES Szwarczynski (NL),2006-2009,3,17,29,65,30.81,69.33,0,0.294117647,0.064697609,NRS
263,JDS Neesham (NZ),2013-2016,3,22,21.45454545,74,29.5,91.65,0,0.090909091,0.108737864,RS
264,N Deonarine (WI),2007-2010,3,15,27.93333333,65,34.91,76.04,0,0.266666667,0.072595281,RS
265,RM Haq (SCOT),2006-2009,3,21,18.47619048,71,18.47,66.09,0,0.142857143,0.083475298,NRS
266,R Ashwin (INDIA),2010-2013,3,34,11.05882353,38,17.09,83.37,0,0,0.073170732,NRS
267,BJ Patel (KENYA),2001-2004,3,18,17.72222222,44,19.93,52.38,0,0,0.073891626,NRS
268,SR Patel (ENG),2008-2011,3,13,23.53846154,70,27.81,91.89,0,0.076923077,0.087087087,RS
269,Mudassar Bukhari (NL),2007-2010,3,19,14.89473684,71,16.64,65.35,0,0.105263158,0.073903002,NRS
270,Jahurul Islam (BDESH),2010-2013,3,13,20.76923077,53,22.5,72.77,0,0.076923077,0.07277628,RS
271,Sohail Tanvir (PAK),2008-2011,3,19,11.31578947,59,16.53,89.21,0,0.052631579,0.107883817,NRS
272,DO Obuya (KENYA),2002-2006,4,21,9.904761905,57,10.94,47.59,0,0.047619048,0.052631579,NRS
273,FDM Karunaratne (SL),2011-2015,4,13,14.61538462,60,15.83,68.84,0,0.076923077,0.050724638,NRS
274,Iftikhar Anjum (PAK),2004-2007,3,23,7.347826087,32,21.12,58.88,0,0,0.034843206,NRS
275,RML Taylor (SCOT),2013-2016,3,14,11,46,14,89.53,0,0,0.081395349,NRS
277,M Ntini (SA),2001-2004,3,16,7.3125,42,14.62,74.52,0,0,0.089171975,NRS
279,RJ Peterson (SA),2002-2006,4,10,9.8,36,10.88,66.21,0,0,0.060810811,NRS
281,MG Johnson (AUS),2005-2008,3,18,5.111111111,24,9.2,73.01,0,0,0.055555556,NRS
282,DW Steyn (SA),2007-2010,3,12,6.833333333,35,11.71,102.5,0,0,0.1,NRS
284,CD Collymore (WI),2001-2004,3,19,2.947368421,12,5.09,38.88,0,0,0.013888889,NRS
285,SJ Harmison (ENG),2002-2005,3,14,3.857142857,13,10.8,58.69,0,0,0.02173913,NRS
286,UT Yadav (INDIA),2011-2014,3,12,3.416666667,17,13.66,67.21,0,0,0.114754098,NRS
