Babar Azam(5),1,2
Q de Kock(6),2,1
TWM Latham(33),3,9
MR Marsh(36),4,4
N Dickwella(40),5,5
Soumya Sarkar(52),6,3
Ahmed Shehzad(77),7,8
Rahmat Shah(81),8,10
