Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50,50/I,4,6,6+4/BF
Q de Kock (SA),2014-2017,4,10,48.3,128,53.66,102.11,0.2,2,0.2,60,6,0.13953488372093023
JE Root (ENG),2014-2016,3,16,47.3125,121,58.23,87.31,0.125,4,0.25,54,7,0.07035755478662054
JC Buttler (ENG),2014-2016,3,15,35.733333333333334,121,53.60,122.09,0.06666666666666667,3,0.2,49,10,0.13439635535307518
Ahmed Shehzad (PAK),2014-2017,4,12,31.0,95,31.00,76.85,0.0,2,0.16666666666666666,43,1,0.09090909090909091
