Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I
RJ Shastri (INDIA),1983-1986,4,27,31.14814814814815,102,33.64,58.77,0.07407407407407407,0.2222222222222222,
SB Smith (AUS),1983-1985,3,22,37.95454545454545,117,41.75,65.18,0.09090909090909091,0.36363636363636365,
Rahmat Shah (AFG),2014-2017,4,25,33.08,108,35.95,68.17,0.08,0.2,
A Ranatunga (SL),1984-1987,4,28,28.357142857142858,86,33.08,78.30,0.0,0.21428571428571427,
KR Rutherford (NZ),1986-1988,3,31,25.225806451612904,79,26.06,58.53,0.0,0.1935483870967742,
CJ Chibhabha (ZIM),2006-2010,5,33,23.636363636363637,73,23.63,58.77,0.0,0.18181818181818182,
ADR Campbell (ZIM),1993-1996,4,33,23.606060606060606,131,25.12,59.83,0.030303030303030304,0.12121212121212122,
M Kaif (INDIA),2002-2004,3,26,29.923076923076923,95,35.36,67.47,0.0,0.23076923076923078,
MJ Clarke (AUS),2003-2005,3,19,40.73684210526316,105,59.53,82.95,0.10526315789473684,0.2631578947368421,
Saeed Anwar (PAK),1989-1991,3,27,28.666666666666668,126,29.76,87.55,0.07407407407407407,0.037037037037037035,
S Matsikenyeri (ZIM),2003-2007,5,40,19.325,75,19.82,62.03,0.0,0.1,
KOA Powell (WI),2011-2014,4,26,29.5,83,29.50,81.85,0.0,0.2692307692307692,
TWM Latham (NZ),2012-2016,5,29,26.17241379310345,110,29.19,74.33,0.034482758620689655,0.13793103448275862,
Anamul Haque (BDESH),2013-2015,3,22,34.31818181818182,109,34.31,69.71,0.09090909090909091,0.13636363636363635,
Imran Farhat (PAK),2003-2006,4,21,35.523809523809526,107,37.30,73.35,0.047619047619047616,0.19047619047619047,
Ijaz Ahmed (PAK),1988-1992,5,27,27.51851851851852,124,32.30,88.13,0.07407407407407407,0.1111111111111111,
Soumya Sarkar (BDESH),2014-2016,3,20,36.2,127,40.22,99.45,0.05,0.2,
CK Kapugedera (SL),2007-2011,5,34,21.058823529411764,75,22.37,70.96,0.0,0.08823529411764706,
AN Cook (ENG),2006-2008,3,23,30.52173913043478,102,30.52,68.15,0.043478260869565216,0.13043478260869565,
SC Williams (ZIM),2006-2009,4,26,26.73076923076923,71,28.95,70.55,0.0,0.2692307692307692,
Rajin Saleh (BDESH),2004-2006,3,32,21.6875,108,22.38,55.47,0.03125,0.125,
WTS Porterfield (IRE),2006-2008,3,27,25.37037037037037,112,27.40,59.41,0.07407407407407407,0.07407407407407407,
H Masakadza (ZIM),2004-2007,4,35,19.285714285714285,75,20.45,63.92,0.0,0.14285714285714285,
Umar Akmal (PAK),2010-2014,5,21,31.857142857142858,91,35.21,86.21,0.0,0.23809523809523808,
Mohammad Shahzad (AFG),2009-2011,3,16,40.75,118,43.46,91.57,0.1875,0.1875,
D Ganga (WI),1999-2002,4,24,27.125,71,27.12,60.95,0.0,0.3333333333333333,
DA Gunawardene (SL),1998-2000,3,22,28.818181818181817,132,28.81,85.21,0.045454545454545456,0.13636363636363635,
AC Parore (NZ),1992-1995,4,16,39.5625,108,45.21,67.99,0.0625,0.3125,
K Srikkanth (INDIA),1981-1983,3,24,26.0,95,26.00,71.80,0.0,0.125,
DI Gower (ENG),1978-1981,4,24,25.208333333333332,114,30.25,72.71,0.08333333333333333,0.08333333333333333,
Abdul Razzaq (PAK),2000-2003,4,21,28.761904761904763,112,30.20,62.07,0.047619047619047616,0.14285714285714285,
Imran Nazir (PAK),2002-2004,3,26,23.23076923076923,66,24.16,80.00,0.0,0.15384615384615385,
Kamran Akmal (PAK),2002-2005,4,18,31.22222222222222,124,33.05,84.51,0.16666666666666666,0.0,
JP Duminy (SA),2006-2008,3,17,32.88235294117647,79,50.81,73.45,0.0,0.17647058823529413,
MW Machan (SCOT),2013-2015,3,15,36.53333333333333,114,36.53,76.00,0.06666666666666667,0.13333333333333333,
DL Haynes (WI),1978-1980,3,15,35.06666666666667,148,35.06,62.32,0.06666666666666667,0.13333333333333333,
RV Uthappa (INDIA),2006-2008,3,21,24.0,86,24.00,88.26,0.0,0.19047619047619047,
N Dickwella (SL),2014-2017,4,13,38.53846153846154,94,38.53,95.61,0.0,0.3076923076923077,
DJ Bravo (WI),2004-2007,4,15,33.266666666666666,112,49.90,85.59,0.06666666666666667,0.13333333333333333,
HH Dippenaar (SA),1999-2001,3,14,35.5,77,45.18,60.90,0.0,0.35714285714285715,
IK Pathan (INDIA),2005-2008,4,21,23.476190476190474,83,25.94,78.12,0.0,0.14285714285714285,
Javed Ahmadi (AFG),2012-2015,4,18,27.166666666666668,81,27.16,88.42,0.0,0.2777777777777778,
GW Flower (ZIM),1992-1994,3,18,27.0,84,28.58,53.28,0.0,0.2777777777777778,
BG Rogers (ZIM),2002-2005,4,15,31.866666666666667,84,31.86,69.37,0.0,0.3333333333333333,
HP Tillakaratne (SL),1989-1991,3,15,30.4,76,30.40,48.61,0.0,0.2,
Mushfiqur Rahim (BDESH),2007-2011,5,22,20.5,98,20.50,64.24,0.0,0.09090909090909091,
Taufeeq Umar (PAK),2001-2005,5,19,23.526315789473685,81,24.83,57.45,0.0,0.15789473684210525,
Saleem Malik (PAK),1984-1987,4,24,18.25,84,19.04,70.87,0.0,0.08333333333333333,
Mominul Haque (BDESH),2013-2015,3,17,25.11764705882353,60,25.11,72.86,0.0,0.17647058823529413,
T Taibu (ZIM),2003-2005,3,21,20.238095238095237,96,21.25,59.10,0.0,0.14285714285714285,
Mehrab Hossain (BDESH),1999-2002,4,14,29.071428571428573,101,29.07,59.07,0.07142857142857142,0.14285714285714285,
AN Kervezee (NL),2010-2012,3,14,28.642857142857142,92,30.84,85.86,0.0,0.14285714285714285,
RR Patel (KENYA),2009-2012,4,18,22.166666666666668,92,23.47,61.66,0.0,0.05555555555555555,
RS Bopara (ENG),2007-2009,3,14,27.571428571428573,60,27.57,70.56,0.0,0.14285714285714285,
Noor Ali Zadran (AFG),2009-2012,4,14,26.5,114,28.53,70.66,0.07142857142857142,0.07142857142857142,
Shahriar Hossain (BDESH),1997-2000,4,17,21.176470588235293,95,21.17,54.87,0.0,0.11764705882352941,
TJ Friend (ZIM),2002-2004,3,16,22.4375,91,22.43,86.29,0.0,0.1875,
RL Powell (WI),1999-2002,4,16,20.25,37,21.60,99.69,0.0,0.0,
T Mishra (KENYA),2007-2010,4,11,27.818181818181817,66,34.00,78.86,0.0,0.18181818181818182,
CL Hooper (WI),1987-1990,4,14,21.357142857142858,62,29.90,65.00,0.0,0.07142857142857142,
DSBP Kuruppu (SL),1983-1985,3,15,19.533333333333335,72,19.53,48.11,0.0,0.13333333333333333,
GC Wilson (IRE),2007-2009,3,16,18.125,51,19.33,65.46,0.0,0.125,
R Gunasekera (CAN),2011-2014,4,11,24.363636363636363,72,24.36,69.25,0.0,0.36363636363636365,
Al Sahariar (BDESH),1999-2002,4,13,19.923076923076923,62,21.58,52.42,0.0,0.15384615384615385,
MA Vermeulen (ZIM),2000-2003,4,10,25.8,79,32.25,68.80,0.0,0.2,
E Chigumbura (ZIM),2006-2010,5,15,17.066666666666666,79,17.06,90.45,0.0,0.06666666666666667,
ADS Fletcher (WI),2008-2010,3,13,18.692307692307693,54,18.69,70.43,0.0,0.15384615384615385,
HH Gibbs (SA),1996-1998,3,13,18.615384615384617,35,18.61,68.36,0.0,0.0,
NS Poonia (SCOT),2006-2009,4,20,11.85,67,11.85,63.20,0.0,0.05,
Javed Miandad (PAK),1977-1980,4,13,18.076923076923077,77,21.36,57.59,0.0,0.07692307692307693,
GJ Whittall (ZIM),1993-1996,4,12,19.5,70,19.50,51.31,0.0,0.16666666666666666,
Mohammad Wasim (PAK),1997-2000,4,10,18.5,76,20.55,50.82,0.0,0.1,
DO Obuya (KENYA),2001-2003,3,14,13.0,57,13.00,48.02,0.0,0.07142857142857142,
FRJ Coleman (SCOT),2013-2015,3,12,15.083333333333334,70,15.08,62.62,0.0,0.08333333333333333,
Liton Das (BDESH),2015-2017,3,12,13.75,36,15.00,76.74,0.0,0.0,
BB McCullum (NZ),2002-2005,4,11,13.909090909090908,51,15.30,69.23,0.0,0.09090909090909091,
MH Cross (SCOT),2014-2016,3,10,12.6,55,12.60,77.30,0.0,0.1,
Alok Kapali (BDESH),2004-2006,3,10,9.0,28,9.00,58.82,0.0,0.0,
MV Boucher (SA),1998-2000,3,12,7.5,34,7.50,59.21,0.0,0.0,
Tushar Imran (BDESH),2005-2007,3,11,7.636363636363637,32,7.63,45.16,0.0,0.0,
JE Root (ENG),2013-2015,3,57,37.666666666666664,121,41.28,82.26,0.10526315789473684,0.17543859649122806,
V Sehwag (INDIA),2001-2003,3,62,34.11290322580645,126,37.10,97.01,0.08064516129032258,0.16129032258064516,
MJ Guptill (NZ),2009-2011,3,50,31.44,122,35.72,79.75,0.02,0.22,
IR Bell (ENG),2004-2007,4,36,36.47222222222222,88,37.51,68.70,0.0,0.2777777777777778,
Rameez Raja (PAK),1985-1987,3,49,26.163265306122447,66,27.86,60.07,0.0,0.14285714285714285,
Younis Khan (PAK),2000-2002,3,47,24.914893617021278,87,27.23,62.78,0.0,0.14893617021276595,
KC Sangakkara (SL),2000-2002,3,42,26.261904761904763,85,29.02,69.50,0.0,0.16666666666666666,
MDKJ Perera (SL),2013-2015,3,43,24.558139534883722,116,26.40,90.72,0.046511627906976744,0.11627906976744186,
WJ Cronje (SA),1992-1994,3,36,28.47222222222222,112,31.06,64.30,0.027777777777777776,0.1111111111111111,
WW Hinds (WI),1999-2001,3,35,28.485714285714284,116,30.21,59.66,0.02857142857142857,0.2,
Basit Ali (PAK),1993-1995,3,28,33.607142857142854,127,39.20,76.25,0.03571428571428571,0.21428571428571427,
JN Rhodes (SA),1992-1994,3,35,26.0,66,31.37,70.65,0.0,0.08571428571428572,
