Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I
MG Bevan (AUS),1994-1997,4,20,37.85,103,47.31,69.25,0.05,0.2,
Haris Sohail (PAK),2013-2015,3,18,40.388888888888886,89,48.46,81.41,0.0,0.3888888888888889,
JM How (NZ),2005-2008,4,18,39.888888888888886,139,42.23,72.96,0.05555555555555555,0.3333333333333333,
NJ O'Brien (IRE),2006-2008,3,29,24.413793103448278,72,25.28,64.89,0.0,0.2413793103448276,
TD Paine (AUS),2009-2011,3,24,29.208333333333332,111,29.20,68.45,0.041666666666666664,0.20833333333333334,
RA Smith (ENG),1988-1990,3,19,36.36842105263158,128,43.18,74.14,0.10526315789473684,0.21052631578947367,
L Klusener (SA),1996-1998,3,23,28.73913043478261,99,30.04,83.45,0.0,0.21739130434782608,
TM Moody (AUS),1990-1992,3,23,28.73913043478261,89,30.04,65.05,0.0,0.30434782608695654,
A Balbirnie (IRE),2014-2017,4,28,23.571428571428573,97,25.38,73.41,0.0,0.14285714285714285,
MA Taylor (AUS),1989-1991,3,19,33.473684210526315,76,33.47,59.88,0.0,0.3157894736842105,
MS Sinclair (NZ),2000-2002,3,23,26.782608695652176,118,28.00,62.03,0.08695652173913043,0.13043478260869565,
CJ Nevin (NZ),2000-2002,3,25,23.84,74,23.84,79.78,0.0,0.16,
KO Otieno (KENYA),1996-1998,3,18,31.333333333333332,144,33.17,64.38,0.05555555555555555,0.1111111111111111,
JJ Crowe (NZ),1983-1985,3,29,18.93103448275862,57,22.87,58.71,0.0,0.13793103448275862,
SM Patil (INDIA),1980-1983,4,20,26.1,84,27.47,96.30,0.0,0.3,
RP Arnold (SL),1997-2000,4,18,27.833333333333332,103,31.31,67.33,0.05555555555555555,0.1111111111111111,
SO Tikolo (KENYA),1996-1998,3,19,26.36842105263158,96,26.36,73.78,0.0,0.21052631578947367,
PD Collingwood (ENG),2001-2003,3,11,41.72727272727273,100,57.37,84.06,0.09090909090909091,0.2727272727272727,
MS Wade (AUS),2012-2014,3,18,25.0,75,25.00,65.59,0.0,0.16666666666666666,
Asif Mujtaba (PAK),1992-1994,3,14,31.428571428571427,113,40.00,65.96,0.07142857142857142,0.14285714285714285,
MW Gatting (ENG),1980-1984,5,14,29.214285714285715,96,40.90,71.62,0.0,0.14285714285714285,
JC Buttler (ENG),2014-2017,4,10,39.4,116,49.25,145.92,0.2,0.1,
GS Chappell (AUS),1972-1975,4,11,35.54545454545455,75,43.44,77.88,0.0,0.18181818181818182,
AJ Hall (SA),2000-2002,3,17,22.647058823529413,81,22.64,69.24,0.0,0.058823529411764705,
R Mutumbami (ZIM),2014-2016,3,18,20.666666666666668,74,20.66,71.12,0.0,0.1111111111111111,
RM Haq (SCOT),2007-2009,3,15,24.6,71,24.60,68.58,0.0,0.2,
HS Modi (KENYA),1996-1998,3,10,32.0,71,32.00,70.02,0.0,0.3,
CJ Ferguson (AUS),2009-2011,3,11,27.90909090909091,71,38.37,89.76,0.0,0.18181818181818182,
PJ Moor (ZIM),2015-2017,3,13,19.53846153846154,52,21.16,58.93,0.0,0.15384615384615385,
PW Borren (NL),2007-2010,4,12,20.75,96,20.75,84.69,0.0,0.16666666666666666,
JR Ratnayeke (SL),1985-1987,3,10,17.4,50,17.40,38.32,0.0,0.1,
FDM Karunaratne (SL),2011-2015,5,11,14.727272727272727,60,14.72,64.54,0.0,0.09090909090909091,
RW Chakabva (ZIM),2010-2014,5,10,15.0,45,15.00,48.23,0.0,0.0,
