,id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
27,27,DD Ebrahim (ZIM),2001-2004,3,63,18.46031746,121,19.71,57.34,0.015873016,0.031746032,0.043392505,NRS
28,28,S Matsikenyeri (ZIM),2003-2007,4,58,19.84482759,89,21.31,65.99,0,0.086206897,0.075688073,NRS
29,29,IK Pathan (INDIA),2004-2008,4,58,19.84482759,83,24.48,78.78,0,0.086206897,0.095824778,RS
30,30,Nasir Hossain (BDESH),2011-2015,4,40,27.525,100,32.38,80.71,0.025,0.1,0.081378299,RS
31,31,DM Bravo (WI),2009-2013,4,44,24.95454545,86,28.89,67.69,0,0.159090909,0.069667078,NRS
32,32,PR Stirling (IRE),2010-2014,4,29,36.44827586,177,36.44,104.44,0.172413793,0.034482759,0.147233202,RS
33,33,DJ Bravo (WI),2004-2007,3,55,18.03636364,112,24.19,79.1,0.018181818,0.036363636,0.074162679,RS
34,34,HDRL Thirimanne (SL),2010-2013,3,38,26.05263158,102,29.11,67.71,0.026315789,0.157894737,0.051983584,NRS
35,35,AA Obanda (KENYA),2008-2011,3,34,27.73529412,96,28.57,73.84,0,0.176470588,0.094753328,RS
36,36,SC Williams (ZIM),2006-2009,3,36,25.80555556,75,30.96,72.46,0,0.277777778,0.059282371,NRS
37,37,RA Jadeja (INDIA),2009-2012,3,40,21.5,78,28.66,78.61,0,0.125,0.066727605,RS
38,38,BB McCullum (NZ),2002-2005,3,51,16.68627451,56,22.39,71.51,0,0.058823529,0.072268908,NRS
39,39,TWM Latham (NZ),2012-2016,4,34,24.64705882,110,28.89,73.83,0.029411765,0.117647059,0.07753304,RS
40,40,CJ Chibhabha (ZIM),2006-2010,4,41,20.17073171,73,20.17,58.69,0,0.146341463,0.048970901,NRS
41,41,AD Mathews (SL),2008-2011,3,32,24.875,77,34.6,85.13,0,0.1875,0.068449198,RS
42,42,DR Smith (WI),2004-2007,3,52,14.76923077,68,15.36,101.58,0,0.038461538,0.12962963,NRS
43,43,KOA Powell (WI),2011-2014,3,26,29.5,83,29.5,81.85,0,0.269230769,0.108858058,RS
44,44,Imran Farhat (PAK),2003-2006,3,22,34.54545455,107,36.19,72.58,0.045454545,0.181818182,0.093600764,NRS
45,45,Mahmudullah (BDESH),2007-2010,3,33,22.90909091,64,34.36,71.93,0,0.121212121,0.057088487,NRS
46,46,Kamran Akmal (PAK),2002-2005,3,28,26.28571429,124,32,91.65,0.107142857,0,0.113325031,RS
47,47,KA Pollard (WI),2008-2011,3,34,21.05882353,94,21.05,104.22,0,0.088235294,0.113537118,RS
48,48,H Masakadza (ZIM),2004-2007,3,36,19.33333333,75,20.47,64.44,0,0.138888889,0.060185185,NRS
49,49,MF Maharoof (SL),2004-2008,4,47,14.59574468,69,19.6,84.06,0,0.042553191,0.094362745,NRS
