,id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
47,47,CJ Chibhabha (ZIM),2006-2010,5,41,20.17073171,73,20.17,58.69,0.0,0.146341463,0.048970901,NRS
48,48,AD Mathews (SL),2008-2011,4,32,24.875,77,34.6,85.13,0.0,0.1875,0.068449198,NRS
49,49,RV Uthappa (INDIA),2006-2008,3,34,23.11764706,86,27.1,91.92,0.0,0.147058824,0.128654971,RS
50,50,DR Smith (WI),2004-2007,4,52,14.76923077,68,15.36,101.58,0.0,0.038461537999999997,0.12962963,NRS
51,51,Imran Farhat (PAK),2003-2006,4,22,34.54545455,107,36.19,72.58,0.045454545,0.181818182,0.093600764,RS
52,52,Mahmudullah (BDESH),2007-2010,4,33,22.90909091,64,34.36,71.93,0.0,0.12121212099999999,0.057088487,NRS
53,53,RS Bopara (ENG),2007-2009,3,34,21.97058824,60,28.73,71.62,0.0,0.117647059,0.074784276,NRS
54,54,Kamran Akmal (PAK),2002-2005,4,28,26.28571429,124,32.0,91.65,0.107142857,0.0,0.11332503099999999,NRS
55,55,Rajin Saleh (BDESH),2004-2006,3,35,21.02857143,108,21.64,53.84,0.028571429,0.11428571400000001,0.054864667,NRS
56,56,KA Pollard (WI),2008-2011,4,34,21.05882353,94,21.05,104.22,0.0,0.088235294,0.113537118,NRS
57,57,AN Cook (ENG),2006-2008,3,23,30.52173913,102,30.52,68.15,0.043478261,0.130434783,0.07475728200000001,NRS
58,58,H Masakadza (ZIM),2004-2007,4,36,19.33333333,75,20.47,64.44,0.0,0.13888888900000002,0.060185185,NRS
59,59,Nasir Hossain (BDESH),2011-2013,3,20,34.45,100,45.93,82.02,0.05,0.2,0.08452381,RS
60,60,MF Maharoof (SL),2004-2008,5,47,14.59574468,69,19.6,84.06,0.0,0.042553191,0.094362745,NRS
61,61,WTS Porterfield (IRE),2006-2008,3,27,25.37037037,112,27.4,59.41,0.074074074,0.074074074,0.050303556,NRS
62,62,Mashrafe Mortaza (Asia/BDESH),2004-2007,4,42,15.5952381,51,19.26,98.34,0.0,0.023809524,0.11561561599999999,NRS
63,63,Mohammad Shahzad (AFG),2009-2011,3,16,40.75,118,43.46,91.57,0.1875,0.1875,0.113764045,RS
64,64,JP Duminy (SA),2004-2008,5,24,25.75,79,36.35,73.3,0.0,0.125,0.06168446,NRS
65,65,KOA Powell (WI),2011-2013,3,20,30.7,83,30.7,79.43,0.0,0.25,0.102199224,RS
66,66,Imran Nazir (PAK),2002-2004,3,26,23.23076923,66,24.16,80.0,0.0,0.153846154,0.11258278099999999,NRS
67,67,D Ramdin (WI),2005-2009,5,43,13.81395349,74,19.8,79.41,0.0,0.046511628,0.072192513,NRS
68,68,Naeem Islam (BDESH),2008-2010,3,33,16.48484848,73,28.63,65.14,0.0,0.03030303,0.064670659,NRS
69,69,RR Patel (KENYA),2009-2013,5,26,20.26923077,92,23.95,65.3,0.0,0.076923077,0.07187112799999999,NRS
70,70,P Utseya (ZIM),2005-2009,5,53,9.679245283,68,14.25,53.21,0.0,0.037735849,0.037344398,NRS
71,71,TJ Friend (ZIM),2001-2004,4,32,15.96875,91,17.03,78.37,0.0,0.09375,0.09049079800000001,NRS
72,72,NLTC Perera (SL),2009-2013,5,39,12.97435897,69,15.81,110.48,0.0,0.025641026,0.120087336,NRS
73,73,BG Rogers (ZIM),2002-2005,4,15,31.86666667,84,31.86,69.37,0.0,0.333333333,0.08998548599999999,NRS
74,74,Taufeeq Umar (PAK),2001-2005,5,19,23.52631579,81,24.83,57.45,0.0,0.15789473699999998,0.061696658,NRS
75,75,AN Kervezee (NL),2010-2012,3,15,27.93333333,92,29.92,85.33,0.0,0.133333333,0.107942974,RS
76,76,Farhad Reza (BDESH),2006-2008,3,29,13.44827586,50,16.95,64.89,0.0,0.034482759,0.074875208,NRS
77,77,DA Miller (SA),2010-2013,4,18,21.27777778,67,29.46,101.05,0.0,0.166666667,0.09762533,NRS
78,78,SPD Smith (AUS),2010-2013,4,22,17.27272727,46,21.11,86.75,0.0,0.0,0.068493151,NRS
79,79,Noor Ali Zadran (AFG),2009-2012,4,14,26.5,114,28.53,70.66,0.071428571,0.071428571,0.068571429,NRS
80,80,Asghar Stanikzai (AFG),2009-2011,3,17,21.52941176,64,24.4,55.28,0.0,0.117647059,0.046827795,NRS
81,81,Harbhajan Singh (INDIA),2001-2003,3,39,8.871794872,46,11.53,89.17,0.0,0.0,0.103092784,NRS
82,82,SR Watson (AUS),2002-2005,4,20,17.05,77,31.0,68.06,0.0,0.05,0.045908184000000005,NRS
