Player,Span,Mat,Inns,NO,Runs,R/I,HS,Ave,BF,SR,100,50,0,4s,6s
K Rabada (SA),2017-2017,8,3,1,54,18.0,26,27.00,42,128.57,0,0,0,6,1,
MJ McClenaghan (NZ),2013-2015,22,7,5,53,7.571428571428571,34,26.50,82,64.63,0,0,0,6,0,
GSNFG Jayasuriya (SL),2015-2016,6,4,1,51,12.75,31,17.00,88,57.95,0,0,1,4,0,
KD Karthik (INDIA),2014-2014,4,4,2,50,12.5,23,25.00,78,64.10,0,0,0,5,0,
KK Nair (INDIA),2016-2016,2,2,0,46,23.0,39,23.00,88,52.27,0,0,0,6,0,
Hamid Hassan (AFG),2014-2015,12,8,2,44,5.5,16,7.33,93,47.31,0,0,3,6,0,
UT Yadav (INDIA),2014-2016,32,10,5,43,4.3,18,8.60,70,61.42,0,0,1,4,1,
NM Lyon (AUS),2014-2016,11,4,3,42,10.5,30,42.00,40,105.00,0,0,0,4,1,
MC Sorensen (IRE),2014-2014,5,4,1,42,10.5,17,14.00,69,60.86,0,0,0,4,0,
Liton Das (BDESH),2017-2017,3,3,0,41,13.666666666666666,21,13.66,47,87.23,0,0,0,6,1,
ST Finn (ENG),2014-2017,30,17,7,40,2.3529411764705883,10,4.00,111,36.03,0,0,4,1,0,
SW Ambris (WI),2017-2017,1,1,1,38,38.0,38,-,27,140.74,0,0,0,4,0,
CA Pujara (INDIA),2014-2014,3,3,0,38,12.666666666666666,27,12.66,102,37.25,0,0,1,2,0,
JT Ball (ENG),2016-2017,16,4,1,37,9.25,28,12.33,37,100.00,0,0,1,6,0,
Shapoor Zadran (AFG),2014-2016,20,12,9,37,3.0833333333333335,12,12.33,67,55.22,0,0,0,3,1,
MA Wood (ENG),2015-2017,19,6,3,37,6.166666666666667,13,12.33,38,97.36,0,0,1,4,0,
Nasir Jamshed (PAK),2014-2015,5,5,0,35,7.0,30,7.00,74,47.29,0,0,2,2,1,
SP Terry (IRE),2016-2016,5,5,0,32,6.4,16,6.40,67,47.76,0,0,1,3,0,
PKD Chase (IRE),2016-2017,18,14,5,31,2.2142857142857144,14,3.44,52,59.61,0,0,6,2,1,
MM Sharma (INDIA),2014-2015,21,8,4,31,3.875,11,7.75,61,50.81,0,0,1,5,0,
BV Vitori (ZIM),2014-2016,7,4,2,31,7.75,20,15.50,24,129.16,0,0,1,3,2,
CK Kapugedera (SL),2015-2016,5,3,0,30,10.0,12,10.00,42,71.42,0,0,0,3,1,
KW Richardson (AUS),2014-2017,14,4,2,30,7.5,19,15.00,25,120.00,0,0,1,2,2,
Bilawal Bhatti (PAK),2013-2015,7,4,1,28,7.0,18,9.33,27,103.70,0,0,1,3,0,
Arafat Sunny (BDESH),2014-2015,13,8,6,27,3.375,14,13.50,74,36.48,0,0,1,2,0,
MVT Fernando (SL),2017-2017,6,6,4,27,4.5,7,13.50,44,61.36,0,0,1,3,0,
TP Kamungozi (ZIM),2014-2015,10,8,4,27,3.375,12,6.75,42,64.28,0,0,1,5,0,
DS Kulkarni (INDIA),2014-2016,12,2,2,27,13.5,25,-,28,96.42,0,0,0,2,1,
RAS Lakmal (SL),2013-2015,25,9,6,27,3.0,8,9.00,58,46.55,0,0,1,0,0,
BCJ Cutting (AUS),2014-2014,1,1,0,26,26.0,26,26.00,22,118.18,0,0,0,2,1,
Mohammad Mithun (BDESH),2014-2014,2,1,0,26,26.0,26,26.00,39,66.66,0,0,0,5,0,
BAW Mendis (SL),2013-2014,5,2,2,24,12.0,19,-,16,150.00,0,0,0,3,1,
CP Tremain (AUS),2016-2016,4,3,2,23,7.666666666666667,23,23.00,37,62.16,0,0,1,2,1,
Afsar Zazai (AFG),2017-2017,3,2,0,22,11.0,13,11.00,51,43.13,0,0,0,0,0,
SW Masakadza (ZIM),2014-2014,4,3,1,22,7.333333333333333,15,11.00,29,75.86,0,0,0,2,1,
JR Hazlewood (AUS),2014-2017,36,9,7,21,2.3333333333333335,11,10.50,33,63.63,0,0,1,4,0,
Kuldeep Yadav (INDIA),2017-2017,13,5,3,21,4.2,19,10.50,33,63.63,0,0,1,4,0,
Taijul Islam (BDESH),2014-2016,4,2,0,21,10.5,11,10.50,40,52.50,0,0,0,2,0,
Amir Hamza (AFG),2014-2017,25,14,8,20,1.4285714285714286,7,3.33,79,25.31,0,0,0,0,1,
Faheem Ashraf (PAK),2017-2017,3,2,1,20,10.0,15,20.00,26,76.92,0,0,0,1,1,
CA Young (IRE),2014-2017,13,6,2,20,3.3333333333333335,11,5.00,32,62.50,0,0,2,2,1,
LR Johnson (WI),2015-2015,3,3,0,19,6.333333333333333,18,6.33,61,31.14,0,0,1,2,1,
Umar Amin (PAK),2014-2014,1,1,0,19,19.0,19,19.00,27,70.37,0,0,0,1,0,
Aftab Alam (AFG),2015-2015,7,6,3,18,3.0,14,6.00,26,69.23,0,0,1,2,1,
RMS Eranga (SL),2014-2015,4,2,2,17,8.5,12,-,19,89.47,0,0,0,4,0,
Shafiul Islam (BDESH),2014-2016,7,4,3,17,4.25,15,17.00,26,65.38,0,0,1,2,0,
CAK Walton (WI),2014-2014,3,2,0,17,8.5,17,8.50,27,62.96,0,0,1,1,0,
CA Lynn (AUS),2017-2017,1,1,0,16,16.0,16,16.00,12,133.33,0,0,0,0,1,
TMK Mawoyo (ZIM),2014-2014,3,3,0,16,5.333333333333333,15,5.33,60,26.66,0,0,1,1,0,
T Panyangara (ZIM),2014-2014,5,3,2,16,5.333333333333333,15,16.00,33,48.48,0,0,0,2,0,
Ehsan Adil (PAK),2015-2015,2,1,0,15,15.0,15,15.00,22,68.18,0,0,0,1,0,
LH Ferguson (NZ),2016-2017,7,6,2,15,2.5,4,3.75,45,33.33,0,0,2,1,0,
HF Gurney (ENG),2014-2014,10,6,4,15,2.5,6,7.50,33,45.45,0,0,0,1,0,
