Player,Span,Mat,Inns,NO,Runs,R/I,HS,Ave,BF,SR,100,50,0,4s,6s
Babar Azam (PAK),2017-2017,18,17,4,872,51.294117647058826,125,67.07,1100,79.27,4,2,0,62,6,
JWA Taylor (ENG),2014-2015,25,24,5,861,35.875,101,45.31,1057,81.45,1,7,2,66,12,
MM Ali (ENG),2014-2016,36,35,4,856,24.457142857142856,128,27.61,859,99.65,2,3,1,81,27,
MS Wade (AUS),2014-2016,42,35,7,855,24.428571428571427,76,30.53,893,95.74,0,6,1,63,18,
S Dhawan (INDIA),2014-2014,18,18,1,815,45.27777777777778,113,47.94,942,86.51,1,6,0,90,14,
Sharjeel Khan (PAK),2013-2017,25,25,0,812,32.48,152,32.48,716,113.40,1,6,2,104,28,
NLTC Perera (SL),2013-2017,63,50,4,808,16.16,80,17.56,745,108.45,0,5,6,66,27,
Mohammad Shahzad (AFG),2014-2016,23,23,1,805,35.0,131,36.59,881,91.37,1,4,1,88,22,
SC Williams (ZIM),2014-2015,25,24,3,795,33.125,96,37.85,875,90.85,0,8,1,62,13,
SD Hope (WI),2016-2017,23,20,1,762,38.1,101,40.10,1123,67.85,1,4,0,52,13,
Noor Ali Zadran (AFG),2014-2017,31,30,0,759,25.3,63,25.30,1259,60.28,0,6,3,86,2,
DM Bravo (WI),2013-2016,26,26,1,748,28.76923076923077,124,29.92,1099,68.06,2,2,1,63,21,
JDS Neesham (NZ),2013-2017,34,30,5,738,24.6,74,29.52,778,94.85,0,4,0,76,9,
Haris Sohail (PAK),2014-2015,18,18,3,729,40.5,89,48.60,868,83.98,0,7,1,55,11,
A Balbirnie (IRE),2014-2017,33,31,3,728,23.483870967741936,97,26.00,999,72.87,0,4,2,73,6,
Umar Akmal (PAK),2013-2017,32,30,6,726,24.2,102,30.25,815,89.07,1,3,2,70,12,
Shakib Al Hasan (BDESH),2014-2015,28,25,5,710,28.4,101,35.50,759,93.54,1,5,2,69,7,
CR Woakes (ENG),2014-2017,54,39,12,693,17.76923076923077,95,25.66,763,90.82,0,2,4,48,8,
Asghar Stanikzai (AFG),2014-2016,36,36,1,691,19.194444444444443,90,19.74,1106,62.47,0,3,3,50,17,
Javed Ahmadi (AFG),2014-2017,26,24,0,682,28.416666666666668,81,28.41,861,79.21,0,6,0,82,9,
E Lewis (WI),2016-2017,23,20,1,650,32.5,176,34.21,729,89.16,2,0,1,63,17,
JP Faulkner (AUS),2014-2017,50,39,18,624,16.0,69,29.71,641,97.34,0,2,4,54,13,
HH Pandya (INDIA),2016-2017,31,21,3,602,28.666666666666668,83,33.44,507,118.73,0,4,1,38,30,
RA Jadeja (INDIA),2014-2017,44,32,14,592,18.5,87,32.88,579,102.24,0,4,1,49,14,
SF Mire (ZIM),2014-2017,22,22,0,574,26.09090909090909,112,26.09,680,84.41,1,3,1,57,14,
R Mutumbami (ZIM),2014-2016,31,29,2,552,19.03448275862069,74,20.44,777,71.04,0,3,3,54,11,
MJ Santner (NZ),2015-2017,42,35,13,541,15.457142857142857,48,24.59,624,86.69,0,0,3,41,15,
Sohaib Maqsood (PAK),2013-2016,21,20,2,537,26.85,89,29.83,621,86.47,0,3,1,38,14,
Sikandar Raza (ZIM),2014-2015,19,19,1,524,27.57894736842105,141,29.11,634,82.64,1,0,1,64,12,
CJ Chibhabha (ZIM),2015-2015,12,12,1,509,42.416666666666664,99,46.27,653,77.94,0,4,0,61,1,
BKG Mendis (SL),2017-2017,20,20,1,505,25.25,102,26.57,629,80.28,1,3,2,51,3,
Najibullah Zadran (AFG),2015-2017,21,21,2,483,23.0,89,25.42,549,87.97,0,4,1,39,20,
E Chigumbura (ZIM),2014-2015,20,19,5,470,24.736842105263158,90,33.57,610,77.04,0,3,2,42,7,
Mohammad Rizwan (PAK),2015-2017,25,22,6,460,20.90909090909091,75,28.75,512,89.84,0,3,0,38,5,
Nasir Hossain (BDESH),2014-2017,33,24,2,457,19.041666666666668,41,20.77,580,78.79,0,0,2,39,5,
J Charles (WI),2013-2016,22,22,0,454,20.636363636363637,83,20.63,530,85.66,0,2,4,49,14,
MK Pandey (INDIA),2015-2017,21,17,6,432,25.41176470588235,104,39.27,464,93.10,1,2,2,37,4,
