Player,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF
WIA Fernando (Sri19),38,36.28947368421053,138,40.55,87.94,0.10526315789473684,0.10526315789473684,0.10841836734693877
Nazmul Hossain Shanto (BD19),37,35.270270270270274,113,45.00,72.74,0.02702702702702703,0.2702702702702703,0.06856187290969899
Saif Hassan (BD19),42,26.857142857142858,107,28.20,56.34,0.047619047619047616,0.09523809523809523,0.06593406593406594
Pinak Ghosh (BD19),32,31.3125,150,32.32,72.97,0.0625,0.15625,0.08375819373634377
Mehidy Hasan Miraz (BD19),31,30.548387096774192,87,36.42,86.88,0.0,0.3870967741935484,0.09541284403669725
KIC Asalanka (Sri19),24,36.791666666666664,83,38.39,74.20,0.0,0.375,0.08151260504201681
MP Breetzke (SA19),19,44.73684210526316,106,44.73,73.46,0.15789473684210525,0.2631578947368421,0.08124459809853068
Shubman Gill (Ind19),10,77.7,160,97.12,99.36,0.3,0.3,0.1329923273657289
SN Khan (Ind19),20,37.6,84,50.13,97.15,0.0,0.45,0.1124031007751938
R van Tonder (SA19),20,37.45,131,44.05,71.40,0.05,0.25,0.07054337464251668
Joyraz Sheik (BD19),27,27.703703703703702,90,29.92,64.93,0.0,0.18518518518518517,0.08159722222222222
PWA Mulder (SA19),26,28.692307692307693,80,32.43,63.65,0.0,0.19230769230769232,0.06655290102389079
S Ashan (Sri19),29,24.96551724137931,103,32.90,77.59,0.034482758620689655,0.1724137931034483,0.06966773847802786
DW Lawrence (ENG19),14,50.857142857142854,174,50.85,100.00,0.21428571428571427,0.2857142857142857,0.15168539325842698
JR Doran (Aus19),16,43.0,102,62.54,72.42,0.0625,0.25,0.06947368421052631
PHKD Mendis (Sri19),35,19.0,68,21.45,68.34,0.0,0.11428571428571428,0.06063720452209661
V Chathuranga (Sri19),19,32.73684210526316,103,32.73,93.39,0.05263157894736842,0.10526315789473684,0.13363363363363365
Zakir Hasan (BD19),27,21.703703703703702,81,25.47,73.25,0.0,0.14814814814814814,0.06375
JTA Burnham (ENG19),13,44.76923076923077,148,48.50,84.59,0.23076923076923078,0.07692307692307693,0.10901162790697674
LP Smith (SA19),13,40.69230769230769,100,48.09,64.43,0.07692307692307693,0.3076923076923077,0.0730816077953715
WMK Bandara (Sri19),15,32.2,91,32.20,73.40,0.0,0.26666666666666666,0.0790273556231003
AD Galiem (SA19),16,29.625,65,31.60,74.29,0.0,0.25,0.061128526645768025
W Makwetu (SA19),21,22.428571428571427,129,24.78,79.56,0.047619047619047616,0.09523809523809523,0.09628378378378379
H Hameed (ENG19),13,35.61538461538461,125,35.61,67.39,0.07692307692307693,0.15384615384615385,0.07569141193595343
R Murray (Zim19),19,24.105263157894736,77,26.94,75.20,0.0,0.15789473684210525,0.1116584564860427
RR Pant (Ind19),11,41.27272727272727,111,41.27,110.46,0.09090909090909091,0.36363636363636365,0.18248175182481752
HJ Rana (Ind19),14,32.285714285714285,101,32.28,86.25,0.07142857142857142,0.2857142857142857,0.11259541984732824
Saif Badar (Pak19),10,43.4,99,54.25,83.46,0.0,0.4,0.08461538461538462
Washington Sundar (Ind19),12,35.0,77,35.00,69.65,0.0,0.4166666666666667,0.06301824212271974
Hasan Mohsin (Pak19),11,38.0,117,52.25,88.18,0.09090909090909091,0.09090909090909091,0.0970464135021097
CJ Taylor (ENG19),16,24.1875,61,25.80,70.74,0.0,0.1875,0.07495429616087751
GA Bartlett (ENG19),15,24.8,85,28.61,81.40,0.0,0.2,0.08533916849015317
KSW Arachchige (Sri19),13,28.23076923076923,81,28.23,63.93,0.0,0.23076923076923078,0.06445993031358885
R Moonsamy (SA19),16,22.8125,63,22.81,68.22,0.0,0.1875,0.07476635514018691
WMH Rhodes (ENG19),11,32.81818181818182,76,36.10,69.28,0.0,0.2727272727272727,0.0690978886756238
PP Shaw (Ind19),10,36.1,105,36.10,99.72,0.1,0.1,0.143646408839779
HC Brook (ENG19),12,29.333333333333332,91,32.00,85.43,0.0,0.25,0.11165048543689321
SB Harper (Aus19),14,23.857142857142858,103,25.69,83.08,0.07142857142857142,0.07142857142857142,0.09203980099502487
Mohammad Saifuddin (BD19),23,14.478260869565217,41,18.50,83.25,0.0,0.0,0.07
J Christensen (SA19),17,19.352941176470587,101,19.35,67.28,0.058823529411764705,0.0,0.0736196319018405
Tariq Stanikzai (AFG19),12,27.25,106,32.70,64.75,0.08333333333333333,0.25,0.08118811881188119
K Verreynne (SA19),14,23.285714285714285,77,27.16,62.21,0.0,0.14285714285714285,0.05534351145038168
Zeeshan Malik (Pak19),12,26.916666666666668,93,29.36,74.94,0.0,0.16666666666666666,0.11600928074245939
FH Allen (NZ19),10,31.8,97,39.75,91.11,0.0,0.1,0.14040114613180515
PVR de Silva (Sri19),11,28.90909090909091,58,31.80,72.43,0.0,0.2727272727272727,0.06378132118451026
J Ives (Zim19),10,31.6,91,39.50,65.56,0.0,0.1,0.08298755186721991
KNA Bandara (Sri19),16,19.125,49,20.40,54.15,0.0,0.0,0.04070796460176991
MW Short (Aus19),10,29.8,96,29.80,77.80,0.0,0.2,0.09399477806788512
Ihsanullah (AFG19),12,24.5,63,26.72,73.50,0.0,0.08333333333333333,0.1075
D Foxcroft (SA19),12,24.333333333333332,117,24.33,63.89,0.08333333333333333,0.0,0.07658643326039387
S Samarawickrama (Sri19),10,29.2,82,29.20,80.00,0.0,0.4,0.09315068493150686
Umair Masood (Pak19),12,24.25,113,26.45,81.28,0.08333333333333333,0.0,0.10893854748603352
H Dumindu (Sri19),10,29.0,113,32.22,69.37,0.1,0.1,0.06937799043062201
SO Hetmyer (WI19),14,19.571428571428573,60,19.57,83.53,0.0,0.14285714285714285,0.11280487804878049
M Van Buuren (SA19),11,24.545454545454547,92,33.75,78.94,0.0,0.09090909090909091,0.06432748538011696
PWH de Silva (Sri19),15,17.333333333333332,37,17.33,84.69,0.0,0.0,0.0781758957654723
H Boyagoda (Sri19),17,15.117647058823529,77,16.06,60.75,0.0,0.11764705882352941,0.05673758865248227
Shafiul Hayet (BD19),10,25.6,83,28.44,74.85,0.0,0.2,0.07894736842105263
J Morgan (Aus19),11,23.181818181818183,55,23.18,75.22,0.0,0.09090909090909091,0.09144542772861357
AHT Donald (ENG19),13,18.384615384615383,48,19.91,85.05,0.0,0.0,0.09252669039145907
JM Clarke (ENG19),10,23.8,45,26.44,84.69,0.0,0.0,0.09608540925266904
RK Bhui (Ind19),15,15.266666666666667,42,17.61,65.99,0.0,0.0,0.07204610951008646
RC Davies (ENG19),15,15.266666666666667,81,16.35,59.17,0.0,0.06666666666666667,0.046511627906976744
Abhishek Sharma (Ind19),12,18.75,45,22.50,71.20,0.0,0.0,0.06962025316455696
EWJ Stewart (WI19),10,21.2,76,23.55,64.83,0.0,0.1,0.0581039755351682
MK Lomror (Ind19),10,20.9,45,29.85,87.08,0.0,0.0,0.07916666666666666
T Banton (ENG19),10,20.4,74,20.40,77.56,0.0,0.2,0.09505703422053231
MDE Holden (ENG19),15,13.533333333333333,51,13.53,57.50,0.0,0.06666666666666667,0.056657223796033995
WG Jacks (ENG19),11,18.363636363636363,71,20.20,92.23,0.0,0.09090909090909091,0.1232876712328767
JA Tattersall (ENG19),10,20.0,95,20.00,68.96,0.0,0.1,0.06896551724137931
Ikram Ali Khil (AFG19),11,17.636363636363637,107,27.71,66.21,0.09090909090909091,0.0,0.05460750853242321
EG Barnard (ENG19),11,17.0,93,18.70,66.78,0.0,0.09090909090909091,0.06785714285714285
Ishan Kishan (Ind19),12,15.5,52,15.50,80.51,0.0,0.08333333333333333,0.11688311688311688
S Snyder (Zim19),10,18.4,56,18.40,63.44,0.0,0.2,0.0896551724137931
JL Finnie (NZ19),11,16.181818181818183,40,17.80,66.41,0.0,0.0,0.0708955223880597
T de Zorzi (SA19),15,11.0,41,11.78,46.34,0.0,0.0,0.033707865168539325
