,Player,Span,Years,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF,Class
196,Nasir Jamshed (PAK),2012-2015,3,36,0.027777777777777776,29.58333333333333,30.42,69.51,0.08333333333333333,0.1111111111111111,0.07441253263707573,NA
197,C Kieswetter (ENG),2010-2013,3,40,0.125,26.35,30.11,89.93,0.025,0.125,0.11774744027303755,NA
198,DA Warner (AUS),2009-2012,3,34,0.0,30.882352941176467,30.88,81.83,0.05882352941176471,0.14705882352941174,0.09275136399064693,NA
199,CJ Anderson (NZ),2013-2016,3,40,0.125,26.175,29.91,111.02,0.025,0.1,0.14316012725344646,NA
200,KJ O'Brien (IRE),2006-2009,3,31,0.0967741935483871,28.516129032258068,31.57,78.29,0.03225806451612903,0.12903225806451613,0.08148804251550043,NA
201,JP Faulkner (AUS),2013-2016,3,38,0.42105263157894735,22.97368421052632,39.68,111.77,0.02631578947368421,0.10526315789473684,0.13188220230473752,NA
202,JDP Oram (NZ),2001-2004,3,50,0.12,15.72,17.86,76.01,0.0,0.06,0.08413926499032882,NA
203,AN Cook (ENG),2007-2010,3,24,0.0,32.416666666666664,32.41,70.09,0.04166666666666666,0.20833333333333331,0.07387387387387387,NA
204,AM Rahane (INDIA),2011-2014,3,27,0.0,25.444444444444446,25.44,72.16,0.0,0.1851851851851852,0.07457983193277311,NA
205,AD Russell (WI),2011-2014,3,28,0.21428571428571427,23.785714285714285,30.27,119.78,0.0,0.10714285714285714,0.16546762589928055,NA
206,Mohammad Hafeez (PAK),2003-2006,3,35,0.028571428571428567,17.37142857142857,17.88,52.82,0.0,0.08571428571428573,0.06516072980017376,NA
207,AM Blignaut (ZIM),2001-2004,3,29,0.2413793103448276,16.551724137931036,21.81,111.36,0.0,0.13793103448275862,0.1345707656612529,NA
208,MJ Prior (ENG),2004-2007,3,22,0.0,21.318181818181817,21.31,72.93,0.0,0.045454545454545456,0.09331259720062207,NA
209,Imran Nazir (PAK),2004-2007,3,17,0.0,26.117647058823533,26.11,98.88,0.05882352941176471,0.05882352941176471,0.1514476614699332,NA
210,PL Mommsen (SCOT),2010-2013,3,19,0.10526315789473684,21.473684210526315,24.00,56.04,0.0,0.15789473684210525,0.04945054945054945,NA
211,Samiullah Shenwari (AFG),2009-2012,3,16,0.125,23.5,26.85,62.98,0.0,0.125,0.06030150753768844,NA
212,DS Smith (WI),2004-2007,3,14,0.14285714285714285,25.57142857142857,29.83,65.8,0.0,0.07142857142857142,0.07352941176470587,NA
213,CR Woakes (ENG),2011-2015,4,24,0.20833333333333331,14.083333333333336,17.78,78.06,0.0,0.0,0.05773672055427252,NA
214,SD Outerbridge (BMUDA),2006-2009,3,23,0.0,14.608695652173912,14.60,54.9,0.0,0.043478260869565216,0.052287581699346414,NA
215,GEF Barnett (CAN),2006-2009,3,16,0.0,20.75,20.75,61.59,0.0,0.0625,0.07792207792207792,NA
216,PW Borren (NL),2006-2009,3,20,0.0,16.15,16.15,94.72,0.0,0.1,0.0997067448680352,NA
217,NN Odhiambo (KENYA),2006-2009,3,28,0.21428571428571427,11.285714285714285,14.36,76.88,0.0,0.03571428571428571,0.0851581508515815,NA
218,SP Narine (WI),2011-2014,3,32,0.1875,8.5,10.46,78.61,0.0,0.0,0.09826589595375723,NA
219,Z Khan (INDIA),2001-2004,3,39,0.35897435897435903,6.897435897435898,10.76,74.72,0.0,0.0,0.08611111111111111,NA
220,U Bhatti (CAN),2006-2009,3,21,0.2857142857142857,11.428571428571427,16.00,76.43,0.0,0.0,0.0732484076433121,NA
221,DNT Zoysa (SL),2001-2004,3,24,0.5,9.541666666666666,19.08,106.01,0.0,0.0,0.12037037037037035,NA
222,JM Bairstow (ENG),2011-2015,4,9,0.1111111111111111,24.33333333333333,27.37,86.22,0.0,0.1111111111111111,0.10236220472440943,NA
223,J Botha (Afr/SA),2005-2008,3,14,0.35714285714285715,11.571428571428573,18.00,86.63,0.0,0.0,0.08021390374331551,NA
224,DR Tuffey (NZ),2001-2004,3,35,0.4857142857142857,4.085714285714285,7.94,60.08,0.0,0.0,0.05882352941176471,NA
225,R Rampaul (WI),2007-2010,3,15,0.06666666666666668,8.666666666666666,9.28,82.8,0.0,0.0,0.10191082802547773,NA
226,TL Chatara (ZIM),2013-2016,3,20,0.5,5.25,10.50,57.69,0.0,0.0,0.06043956043956044,NA
227,M Morkel (Afr/SA),2007-2010,3,10,0.3,10.2,14.57,94.44,0.0,0.0,0.12037037037037035,NA
228,BAW Mendis (SL),2008-2011,3,22,0.4090909090909091,4.5,7.61,68.75,0.0,0.0,0.04861111111111111,NA
229,Kabir Ali (ENG),2003-2006,3,9,0.3333333333333333,10.333333333333334,15.50,86.11,0.0,0.0,0.08333333333333333,NA
230,SI Mahmood (ENG),2004-2007,3,15,0.26666666666666666,5.666666666666668,7.72,84.15,0.0,0.0,0.0891089108910891,NA
231,JA Morkel (Afr/SA),2004-2007,3,8,0.125,10.625,12.14,73.91,0.0,0.0,0.08695652173913042,NA
232,Wahab Riaz (PAK),2008-2011,3,15,0.26666666666666666,5.333333333333333,7.27,86.02,0.0,0.0,0.0967741935483871,NA
233,ST Finn (ENG),2011-2015,4,21,0.42857142857142855,3.761904761904762,6.58,48.76,0.0,0.0,0.043209876543209874,NA
234,MK Tiwary (INDIA),2008-2011,3,5,0.0,12.2,12.20,66.3,0.0,0.0,0.07608695652173914,NA
235,SC Joseph (WI),2001-2004,3,5,0.2,11.8,14.75,43.38,0.0,0.0,0.02205882352941177,NA
236,JL Ontong (Afr/SA),2002-2005,3,9,0.1111111111111111,5.888888888888888,6.62,59.55,0.0,0.0,0.05617977528089888,NA
237,TA Boult (NZ),2012-2015,3,10,0.6,5.2,13.00,75.36,0.0,0.0,0.10144927536231883,NA
238,MM Patel (INDIA),2006-2009,3,15,0.5333333333333333,3.466666666666667,7.42,66.66,0.0,0.0,0.07692307692307693,NA
239,RO Hussain (SCOT),2007-2010,3,6,0.16666666666666666,7.833333333333332,9.40,47.95,0.0,0.0,0.051020408163265314,NA
240,Hamid Hassan (AFG),2009-2013,4,7,0.14285714285714285,6.0,7.00,60.86,0.0,0.0,0.05797101449275361,NA
241,Dawlat Zadran (AFG),2011-2014,3,9,0.2222222222222222,4.222222222222221,5.42,36.53,0.0,0.0,0.038461538461538464,NA
242,Yasir Arafat (PAK),2005-2008,3,4,0.5,9.5,19.00,76.0,0.0,0.0,0.1,NA
243,JO Ngoche (KENYA),2010-2013,3,11,0.3636363636363637,3.1818181818181817,5.00,41.17,0.0,0.0,0.023529411764705882,NA
244,Mohammad Asif (Asia/PAK),2005-2008,3,11,0.4545454545454545,3.0,5.50,42.85,0.0,0.0,0.025974025974025976,NA
245,MC Henriques (AUS),2009-2013,4,5,0.2,6.4,8.00,61.53,0.0,0.0,0.0,NA
246,Farhad Reza (BDESH),2008-2011,3,6,0.16666666666666666,5.0,6.00,34.48,0.0,0.0,0.02298850574712644,NA
247,KC Sangakkara (SL),2001-2004,3,98,0.1326530612244898,28.54081632653061,32.90,72.51,0.030612244897959183,0.17346938775510204,0.07078039927404718,NA
248,DPMD Jayawardene (SL),2001-2004,3,90,0.1,29.66666666666667,32.96,71.52,0.03333333333333333,0.15555555555555556,0.05679078489150818,NA
249,Younis Khan (PAK),2001-2004,3,87,0.14942528735632185,29.057471264367813,34.16,77.02,0.011494252873563218,0.2183908045977012,0.061243144424131625,NA
250,HH Dippenaar (SA),2001-2004,3,56,0.16071428571428573,37.25,44.38,66.15,0.017857142857142856,0.3035714285714285,0.06533460196638123,NA
251,KP Pietersen (ENG/ICC),2004-2007,3,45,0.2,45.022222222222226,56.27,91.46,0.1111111111111111,0.3111111111111111,0.10564334085778783,NA
252,A Flintoff (ENG),2001-2004,3,56,0.17857142857142858,32.232142857142854,39.23,94.4,0.05357142857142857,0.19642857142857145,0.1155857740585774,NA
253,GJ Maxwell (AUS),2012-2015,3,50,0.12,30.7,34.88,126.44,0.02,0.24,0.17051070840197693,NA
254,HJH Marshall (NZ),2003-2006,3,47,0.14893617021276595,26.36170212765957,30.97,72.71,0.02127659574468085,0.23404255319148934,0.0534037558685446,NA
255,L Vincent (NZ),2002-2005,3,52,0.1346153846153846,23.423076923076927,27.06,66.01,0.019230769230769232,0.1153846153846154,0.06666666666666668,NA
256,JD Ryder (NZ),2008-2011,3,30,0.03333333333333333,34.7,35.89,90.99,0.06666666666666668,0.16666666666666666,0.1215034965034965,NA
257,J Charles (WI),2012-2015,3,35,0.0,29.0,29.00,84.44,0.057142857142857134,0.11428571428571427,0.11647254575707155,NA
258,TLW Cooper (NL),2010-2013,3,22,0.09090909090909093,44.36363636363637,48.80,70.16,0.045454545454545456,0.3636363636363637,0.06182602444284688,NA
259,JM How (NZ),2005-2008,3,18,0.05555555555555555,39.888888888888886,42.23,72.96,0.05555555555555555,0.3333333333333333,0.08841463414634146,NA
260,TM Odoyo (KENYA),2001-2004,3,30,0.06666666666666668,20.83333333333333,22.32,64.16,0.0,0.06666666666666668,0.07494866529774127,NA
261,AB Agarkar (INDIA),2001-2004,3,44,0.3181818181818182,13.272727272727273,19.46,88.21,0.0,0.045454545454545456,0.09667673716012083,NA
262,ES Szwarczynski (NL),2006-2009,3,17,0.05882352941176471,29.0,30.81,69.33,0.0,0.29411764705882354,0.06469760900140648,NA
263,JDS Neesham (NZ),2013-2016,3,22,0.2727272727272727,21.454545454545453,29.50,91.65,0.0,0.09090909090909093,0.1087378640776699,NA
264,N Deonarine (WI),2007-2010,3,15,0.2,27.93333333333333,34.91,76.04,0.0,0.26666666666666666,0.07259528130671508,NA
265,RM Haq (SCOT),2006-2009,3,21,0.0,18.476190476190478,18.47,66.09,0.0,0.14285714285714285,0.08347529812606473,NA
266,R Ashwin (INDIA),2010-2013,3,34,0.35294117647058826,11.058823529411764,17.09,83.37,0.0,0.0,0.07317073170731707,NA
267,BJ Patel (KENYA),2001-2004,3,18,0.1111111111111111,17.722222222222218,19.93,52.38,0.0,0.0,0.07389162561576355,NA
268,SR Patel (ENG),2008-2011,3,13,0.15384615384615385,23.538461538461537,27.81,91.89,0.0,0.07692307692307693,0.08708708708708708,NA
269,Mudassar Bukhari (NL),2007-2010,3,19,0.10526315789473684,14.894736842105265,16.64,65.35,0.0,0.10526315789473684,0.07390300230946882,NA
270,Jahurul Islam (BDESH),2010-2013,3,13,0.07692307692307693,20.76923076923077,22.50,72.77,0.0,0.07692307692307693,0.07277628032345014,NA
271,Sohail Tanvir (PAK),2008-2011,3,19,0.3157894736842105,11.31578947368421,16.53,89.21,0.0,0.05263157894736842,0.1078838174273859,NA
272,DO Obuya (KENYA),2002-2006,4,21,0.09523809523809523,9.904761904761905,10.94,47.59,0.0,0.047619047619047616,0.05263157894736842,NA
273,FDM Karunaratne (SL),2011-2015,4,13,0.07692307692307693,14.615384615384615,15.83,68.84,0.0,0.07692307692307693,0.050724637681159424,NA
274,Iftikhar Anjum (PAK),2004-2007,3,23,0.6521739130434783,7.3478260869565215,21.12,58.88,0.0,0.0,0.03484320557491289,NA
275,RML Taylor (SCOT),2013-2016,3,14,0.21428571428571427,11.0,14.00,89.53,0.0,0.0,0.08139534883720931,NA
276,SW Masakadza (ZIM),2010-2013,3,8,0.25,18.5,24.66,100.0,0.0,0.0,0.14864864864864866,NA
277,M Ntini (SA),2001-2004,3,16,0.5,7.3125,14.62,74.52,0.0,0.0,0.08917197452229299,NA
278,RS Morton (WI),2002-2005,3,5,0.0,22.8,22.80,50.44,0.0,0.2,0.05309734513274336,NA
279,RJ Peterson (SA),2002-2006,4,10,0.1,9.8,10.88,66.21,0.0,0.0,0.060810810810810814,NA
280,BJ Haddin (AUS),2001-2004,3,7,0.0,13.714285714285715,13.71,63.57,0.0,0.0,0.0728476821192053,NA
281,MG Johnson (AUS),2005-2008,3,18,0.4444444444444444,5.111111111111111,9.20,73.01,0.0,0.0,0.05555555555555555,NA
282,DW Steyn (SA),2007-2010,3,12,0.4166666666666667,6.833333333333332,11.71,102.5,0.0,0.0,0.1,NA
283,AC Evans (SCOT),2012-2015,3,7,0.5714285714285714,10.0,23.33,77.77,0.0,0.0,0.1,NA
284,CD Collymore (WI),2001-2004,3,19,0.42105263157894735,2.9473684210526314,5.09,38.88,0.0,0.0,0.013888888888888888,NA
285,SJ Harmison (ENG),2002-2005,3,14,0.6428571428571429,3.8571428571428568,10.80,58.69,0.0,0.0,0.021739130434782608,NA
286,UT Yadav (INDIA),2011-2014,3,12,0.75,3.4166666666666665,13.66,67.21,0.0,0.0,0.11475409836065575,NA
287,CT Tremlett (ENG),2005-2008,3,6,0.3333333333333333,6.333333333333332,9.50,58.46,0.0,0.0,0.04615384615384616,NA
288,VD Philander (SA),2008-2012,4,3,0.3333333333333333,11.666666666666664,17.50,79.54,0.0,0.0,0.06818181818181818,NA
