,Player,Span,Years,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF,Class
40,CJ Chibhabha (ZIM),2006-2010,4,41,0.0,20.170731707317074,20.17,58.69,0.0,0.14634146341463414,0.048970901348474094,NA
41,AD Mathews (SL),2008-2011,3,32,0.28125,24.875,34.60,85.13,0.0,0.1875,0.06844919786096257,NA
42,DR Smith (WI),2004-2007,3,52,0.038461538461538464,14.769230769230768,15.36,101.58,0.0,0.038461538461538464,0.12962962962962962,NA
43,KOA Powell (WI),2011-2014,3,26,0.0,29.5,29.50,81.85,0.0,0.2692307692307692,0.1088580576307364,NA
44,Imran Farhat (PAK),2003-2006,3,22,0.045454545454545456,34.54545454545455,36.19,72.58,0.045454545454545456,0.18181818181818185,0.0936007640878701,NA
45,Mahmudullah (BDESH),2007-2010,3,33,0.3333333333333333,22.90909090909091,34.36,71.93,0.0,0.12121212121212123,0.057088487155090385,NA
46,Kamran Akmal (PAK),2002-2005,3,28,0.17857142857142858,26.285714285714285,32.00,91.65,0.10714285714285714,0.0,0.1133250311332503,NA
47,KA Pollard (WI),2008-2011,3,34,0.0,21.058823529411768,21.05,104.22,0.0,0.08823529411764706,0.11353711790393012,NA
48,H Masakadza (ZIM),2004-2007,3,36,0.05555555555555555,19.33333333333333,20.47,64.44,0.0,0.1388888888888889,0.060185185185185175,NA
49,MF Maharoof (SL),2004-2008,4,47,0.2553191489361702,14.595744680851064,19.60,84.06,0.0,0.0425531914893617,0.0943627450980392,NA
50,Mashrafe Mortaza (Asia/BDESH),2004-2007,3,42,0.19047619047619047,15.595238095238097,19.26,98.34,0.0,0.023809523809523808,0.11561561561561562,NA
51,JP Duminy (SA),2004-2008,4,24,0.2916666666666667,25.75,36.35,73.3,0.0,0.125,0.061684460260972726,NA
52,D Ramdin (WI),2005-2009,4,43,0.3023255813953488,13.813953488372093,19.80,79.41,0.0,0.04651162790697674,0.07219251336898395,NA
53,Mominul Haque (BDESH),2012-2015,3,24,0.04166666666666666,22.625,23.60,74.58,0.0,0.125,0.08241758241758243,NA
54,RR Patel (KENYA),2009-2013,4,26,0.15384615384615385,20.26923076923077,23.95,65.3,0.0,0.07692307692307693,0.07187112763320942,NA
55,P Utseya (ZIM),2005-2009,4,53,0.3207547169811321,9.679245283018867,14.25,53.21,0.0,0.03773584905660377,0.03734439834024896,NA
56,TJ Friend (ZIM),2001-2004,3,32,0.0625,15.96875,17.03,78.37,0.0,0.09375,0.09049079754601227,NA
57,NLTC Perera (SL),2009-2013,4,39,0.1794871794871795,12.974358974358973,15.81,110.48,0.0,0.02564102564102564,0.12008733624454147,NA
58,Javed Ahmadi (AFG),2012-2015,3,18,0.0,27.16666666666667,27.16,88.42,0.0,0.2777777777777778,0.12296564195298372,NA
59,BG Rogers (ZIM),2002-2005,3,15,0.0,31.86666666666667,31.86,69.37,0.0,0.3333333333333333,0.0899854862119013,NA
60,Taufeeq Umar (PAK),2001-2005,4,19,0.05263157894736842,23.52631578947368,24.83,57.45,0.0,0.15789473684210525,0.06169665809768636,NA
