id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
109,E Otieno (KENYA),2008-2011,3,15,2.666666667,11,4.44,33.61,0,0,0.025210084,NA
110,JL Pattinson (AUS),2011-2014,3,7,5.714285714,13,10,55.55,0,0,0.027777778,NA
111,N M'shangwe (ZIM),2011-2014,3,6,6.333333333,16,7.6,84.44,0,0,0.111111111,NA
112,Joginder Sharma (INDIA),2004-2007,3,3,11.66666667,29,35,116.66,0,0,0.166666667,NA
113,I Sharma (INDIA),2008-2011,3,10,3.4,13,4.25,33.33,0,0,0.029411765,NA
114,Sarfraz Ahmed (PAK),2007-2010,3,3,10.66666667,19,10.66,54.23,0,0,0.016949153,NA
115,KM Jarvis (ZIM),2009-2012,3,10,2.9,13,4.83,37.66,0,0,0.025974026,NA
116,KMDN Kulasekara (SL),2003-2006,3,8,2.375,11,4.75,24.35,0,0,0,NA
117,DJG Sammy (WI),2004-2007,3,1,18,18,0,138.46,0,0,0.076923077,NA
118,JJC Lawson (WI),2002-2005,3,4,3.75,8,7.5,100,0,0,0.133333333,NA
119,CB Mpofu (ZIM),2006-2009,3,16,0.875,4,1.75,21.87,0,0,0.015625,NA
120,Nazmul Hossain (BDESH),2008-2011,3,10,0.5,3,1.25,13.88,0,0,0,NA
121,Abul Hasan (BDESH),2012-2015,3,2,2,3,2,44.44,0,0,0,NA
122,Danish Kaneria (PAK),2001-2004,3,5,0.8,3,4,28.57,0,0,0,NA
123,M Zondeki (Afr/SA),2002-2006,4,3,1.333333333,3,4,80,0,0,0,NA
124,CH Gayle (WI),2001-2004,3,82,42.65853659,153,45.42,79.91,0.109756098,0.256097561,0.107836418,NA
125,M Kaif (INDIA),2002-2005,3,90,27.01111111,111,35.23,73.68,0.022222222,0.155555556,0.065474386,NA
126,MJ Clarke (AUS),2003-2006,3,71,32.71830986,105,44.67,86.13,0.028169014,0.225352113,0.083796811,NA
127,Abdul Razzaq (PAK),2001-2004,3,93,24.72043011,112,33.8,86.49,0.021505376,0.107526882,0.089541008,NA
128,Ahmed Shehzad (PAK),2013-2016,3,56,36.30357143,124,36.3,74.06,0.071428571,0.232142857,0.080874317,NA
129,LRPL Taylor (NZ),2006-2009,3,54,32.03703704,128,39.31,83.69,0.055555556,0.185185185,0.095307209,NA
