id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
249,Younis Khan (PAK),2001-2004,3,87,29.05747126,144,34.16,77.02,0.011494253,0.218390805,0.061243144,NA
250,HH Dippenaar (SA),2001-2004,3,56,37.25,110,44.38,66.15,0.017857143,0.303571429,0.065334602,NA
251,KP Pietersen (ENG/ICC),2004-2007,3,45,45.02222222,116,56.27,91.46,0.111111111,0.311111111,0.105643341,NA
252,A Flintoff (ENG),2001-2004,3,56,32.23214286,123,39.23,94.4,0.053571429,0.196428571,0.115585774,NA
253,GJ Maxwell (AUS),2012-2015,3,50,30.7,102,34.88,126.44,0.02,0.24,0.170510708,NA
254,HJH Marshall (NZ),2003-2006,3,47,26.36170213,101,30.97,72.71,0.021276596,0.234042553,0.053403756,NA
255,L Vincent (NZ),2002-2005,3,52,23.42307692,172,27.06,66.01,0.019230769,0.115384615,0.066666667,NA
256,JD Ryder (NZ),2008-2011,3,30,34.7,107,35.89,90.99,0.066666667,0.166666667,0.121503497,NA
257,J Charles (WI),2012-2015,3,35,29,130,29,84.44,0.057142857,0.114285714,0.116472546,NA
258,TLW Cooper (NL),2010-2013,3,22,44.36363636,101,48.8,70.16,0.045454545,0.363636364,0.061826024,NA
259,JM How (NZ),2005-2008,3,18,39.88888889,139,42.23,72.96,0.055555556,0.333333333,0.088414634,NA
260,TM Odoyo (KENYA),2001-2004,3,30,20.83333333,53,22.32,64.16,0,0.066666667,0.074948665,NA
261,AB Agarkar (INDIA),2001-2004,3,44,13.27272727,95,19.46,88.21,0,0.045454545,0.096676737,NA
262,ES Szwarczynski (NL),2006-2009,3,17,29,65,30.81,69.33,0,0.294117647,0.064697609,NA
263,JDS Neesham (NZ),2013-2016,3,22,21.45454545,74,29.5,91.65,0,0.090909091,0.108737864,NA
264,N Deonarine (WI),2007-2010,3,15,27.93333333,65,34.91,76.04,0,0.266666667,0.072595281,NA
265,RM Haq (SCOT),2006-2009,3,21,18.47619048,71,18.47,66.09,0,0.142857143,0.083475298,NA
266,R Ashwin (INDIA),2010-2013,3,34,11.05882353,38,17.09,83.37,0,0,0.073170732,NA
267,BJ Patel (KENYA),2001-2004,3,18,17.72222222,44,19.93,52.38,0,0,0.073891626,NA
268,SR Patel (ENG),2008-2011,3,13,23.53846154,70,27.81,91.89,0,0.076923077,0.087087087,NA
269,Mudassar Bukhari (NL),2007-2010,3,19,14.89473684,71,16.64,65.35,0,0.105263158,0.073903002,NA
270,Jahurul Islam (BDESH),2010-2013,3,13,20.76923077,53,22.5,72.77,0,0.076923077,0.07277628,NA
271,Sohail Tanvir (PAK),2008-2011,3,19,11.31578947,59,16.53,89.21,0,0.052631579,0.107883817,NA
272,DO Obuya (KENYA),2002-2006,4,21,9.904761905,57,10.94,47.59,0,0.047619048,0.052631579,NA
273,FDM Karunaratne (SL),2011-2015,4,13,14.61538462,60,15.83,68.84,0,0.076923077,0.050724638,NA
274,Iftikhar Anjum (PAK),2004-2007,3,23,7.347826087,32,21.12,58.88,0,0,0.034843206,NA
275,RML Taylor (SCOT),2013-2016,3,14,11,46,14,89.53,0,0,0.081395349,NA
276,SW Masakadza (ZIM),2010-2013,3,8,18.5,45,24.66,100,0,0,0.148648649,NA
277,M Ntini (SA),2001-2004,3,16,7.3125,42,14.62,74.52,0,0,0.089171975,NA
278,RS Morton (WI),2002-2005,3,5,22.8,55,22.8,50.44,0,0.2,0.053097345,NA
279,RJ Peterson (SA),2002-2006,4,10,9.8,36,10.88,66.21,0,0,0.060810811,NA
280,BJ Haddin (AUS),2001-2004,3,7,13.71428571,32,13.71,63.57,0,0,0.072847682,NA
281,MG Johnson (AUS),2005-2008,3,18,5.111111111,24,9.2,73.01,0,0,0.055555556,NA
282,DW Steyn (SA),2007-2010,3,12,6.833333333,35,11.71,102.5,0,0,0.1,NA
283,AC Evans (SCOT),2012-2015,3,7,10,28,23.33,77.77,0,0,0.1,NA
284,CD Collymore (WI),2001-2004,3,19,2.947368421,12,5.09,38.88,0,0,0.013888889,NA
285,SJ Harmison (ENG),2002-2005,3,14,3.857142857,13,10.8,58.69,0,0,0.02173913,NA
286,UT Yadav (INDIA),2011-2014,3,12,3.416666667,17,13.66,67.21,0,0,0.114754098,NA
287,CT Tremlett (ENG),2005-2008,3,6,6.333333333,19,9.5,58.46,0,0,0.046153846,NA
288,VD Philander (SA),2008-2012,4,3,11.66666667,23,17.5,79.54,0,0,0.068181818,NA
