Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF
MC Henriques (AUS),2009-2013,4,5,6.4,12,8.00,61.53,0.0,0.0,0.0
Farhad Reza (BDESH),2008-2011,3,6,5.0,21,6.00,34.48,0.0,0.0,0.022988505747126436
UT Yadav (INDIA),2010-2013,3,9,2.888888888888889,11,26.00,61.90,0.0,0.0,0.09523809523809523
DW Steyn (Afr/SA),2005-2009,4,8,2.5,6,4.00,50.00,0.0,0.0,0.025
PP Ojha (INDIA),2009-2012,3,7,2.7142857142857144,7,19.00,33.33,0.0,0.0,0.017543859649122806
WB Rankin (IRE),2007-2010,3,7,2.7142857142857144,7,9.50,29.68,0.0,0.0,0.015625
KC Sangakkara (SL),2001-2004,3,98,28.540816326530614,103,32.90,72.51,0.030612244897959183,0.17346938775510204,0.07078039927404718
DPMD Jayawardene (SL),2001-2004,3,90,29.666666666666668,116,32.96,71.52,0.03333333333333333,0.15555555555555556,0.05679078489150817
Younis Khan (PAK),2001-2004,3,87,29.057471264367816,144,34.16,77.02,0.011494252873563218,0.21839080459770116,0.061243144424131625
HH Dippenaar (SA),2001-2004,3,56,37.25,110,44.38,66.15,0.017857142857142856,0.30357142857142855,0.06533460196638123
KP Pietersen (ENG/ICC),2004-2007,3,45,45.022222222222226,116,56.27,91.46,0.1111111111111111,0.3111111111111111,0.10564334085778782
A Flintoff (ENG),2001-2004,3,56,32.232142857142854,123,39.23,94.40,0.05357142857142857,0.19642857142857142,0.11558577405857741
HJH Marshall (NZ),2003-2006,3,47,26.361702127659573,101,30.97,72.71,0.02127659574468085,0.23404255319148937,0.0534037558685446
L Vincent (NZ),2002-2005,3,52,23.423076923076923,172,27.06,66.01,0.019230769230769232,0.11538461538461539,0.06666666666666667
JD Ryder (NZ),2008-2011,3,30,34.7,107,35.89,90.99,0.06666666666666667,0.16666666666666666,0.1215034965034965
TLW Cooper (NL),2010-2013,3,22,44.36363636363637,101,48.80,70.16,0.045454545454545456,0.36363636363636365,0.06182602444284687
JM How (NZ),2005-2008,3,18,39.888888888888886,139,42.23,72.96,0.05555555555555555,0.3333333333333333,0.08841463414634146
TM Odoyo (KENYA),2001-2004,3,30,20.833333333333332,53,22.32,64.16,0.0,0.06666666666666667,0.07494866529774127
AB Agarkar (INDIA),2001-2004,3,44,13.272727272727273,95,19.46,88.21,0.0,0.045454545454545456,0.09667673716012085
ES Szwarczynski (NL),2006-2009,3,17,29.0,65,30.81,69.33,0.0,0.29411764705882354,0.06469760900140648
N Deonarine (WI),2007-2010,3,15,27.933333333333334,65,34.91,76.04,0.0,0.26666666666666666,0.07259528130671507
RM Haq (SCOT),2006-2009,3,21,18.476190476190474,71,18.47,66.09,0.0,0.14285714285714285,0.08347529812606473
R Ashwin (INDIA),2010-2013,3,34,11.058823529411764,38,17.09,83.37,0.0,0.0,0.07317073170731707
BJ Patel (KENYA),2001-2004,3,18,17.72222222222222,44,19.93,52.38,0.0,0.0,0.07389162561576355
SR Patel (ENG),2008-2011,3,13,23.53846153846154,70,27.81,91.89,0.0,0.07692307692307693,0.08708708708708708
Mudassar Bukhari (NL),2007-2010,3,19,14.894736842105264,71,16.64,65.35,0.0,0.10526315789473684,0.07390300230946882
Jahurul Islam (BDESH),2010-2013,3,13,20.76923076923077,53,22.50,72.77,0.0,0.07692307692307693,0.07277628032345014
Sohail Tanvir (PAK),2008-2011,3,19,11.31578947368421,59,16.53,89.21,0.0,0.05263157894736842,0.1078838174273859
DO Obuya (KENYA),2002-2006,4,21,9.904761904761905,57,10.94,47.59,0.0,0.047619047619047616,0.05263157894736842
Iftikhar Anjum (PAK),2004-2007,3,23,7.3478260869565215,32,21.12,58.88,0.0,0.0,0.03484320557491289
SW Masakadza (ZIM),2010-2013,3,8,18.5,45,24.66,100.00,0.0,0.0,0.14864864864864866
M Ntini (SA),2001-2004,3,16,7.3125,42,14.62,74.52,0.0,0.0,0.08917197452229299
RS Morton (WI),2002-2005,3,5,22.8,55,22.80,50.44,0.0,0.2,0.05309734513274336
RJ Peterson (SA),2002-2006,4,10,9.8,36,10.88,66.21,0.0,0.0,0.060810810810810814
BJ Haddin (AUS),2001-2004,3,7,13.714285714285714,32,13.71,63.57,0.0,0.0,0.0728476821192053
MG Johnson (AUS),2005-2008,3,18,5.111111111111111,24,9.20,73.01,0.0,0.0,0.05555555555555555
CD Collymore (WI),2001-2004,3,19,2.9473684210526314,12,5.09,38.88,0.0,0.0,0.013888888888888888
SJ Harmison (ENG),2002-2005,3,14,3.857142857142857,13,10.80,58.69,0.0,0.0,0.021739130434782608
CT Tremlett (ENG),2005-2008,3,6,6.333333333333333,19,9.50,58.46,0.0,0.0,0.046153846153846156
VD Philander (SA),2008-2012,4,3,11.666666666666666,23,17.50,79.54,0.0,0.0,0.06818181818181818
