Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50,50/I,4,6,6+4/BF
RM Haq (SCOT),2006-2008,3,18,21.0,71,21.00,68.10,0.0,3,0.16666666666666666,47,2,0.08828828828828829
DS Smith (WI),2004-2007,4,14,25.571428571428573,61,29.83,65.80,0.0,1,0.07142857142857142,39,1,0.07352941176470588
DJG Sammy (WI),2007-2009,3,22,15.954545454545455,51,20.64,87.31,0.0,1,0.045454545454545456,26,8,0.0845771144278607
SD Outerbridge (BMUDA),2006-2009,4,23,14.608695652173912,56,14.60,54.90,0.0,1,0.043478260869565216,30,2,0.05228758169934641
F Mutizwa (ZIM),2009-2011,3,12,27.333333333333332,79,32.80,86.08,0.0,3,0.25,29,6,0.09186351706036745
NN Odhiambo (KENYA),2006-2009,4,28,11.285714285714286,66,14.36,76.88,0.0,1,0.03571428571428571,25,10,0.0851581508515815
DLS van Bunge (NL),2006-2008,3,15,19.666666666666668,52,21.07,63.44,0.0,1,0.06666666666666667,24,8,0.06881720430107527
ID Blackwell (ENG),2002-2004,3,17,16.58823529411765,82,17.62,94.31,0.0,1,0.058823529411764705,24,8,0.10702341137123746
J Mubarak (SL),2003-2006,4,15,18.8,61,18.80,61.03,0.0,2,0.13333333333333333,31,3,0.0735930735930736
BJ Patel (KENYA),2001-2003,3,16,17.375,44,18.53,53.66,0.0,0,0.0,43,1,0.08494208494208494
R Ashwin (INDIA),2010-2012,3,22,12.0,38,18.85,86.55,0.0,0,0.0,22,1,0.07540983606557378
Jahurul Islam (BDESH),2010-2012,3,11,22.181818181818183,53,24.40,69.31,0.0,1,0.09090909090909091,21,2,0.06534090909090909
DNT Zoysa (SL),2001-2004,4,24,9.541666666666666,47,19.08,106.01,0.0,0,0.0,20,6,0.12037037037037036
Mudassar Bukhari (NL),2007-2009,3,11,18.818181818181817,71,20.70,66.34,0.0,2,0.18181818181818182,20,6,0.08333333333333333
J Botha (Afr/SA),2005-2008,4,14,11.571428571428571,46,18.00,86.63,0.0,0,0.0,14,1,0.08021390374331551
R Rampaul (WI),2007-2010,4,15,8.666666666666666,26,9.28,82.80,0.0,0,0.0,11,5,0.10191082802547771
M Morkel (Afr/SA),2007-2010,4,10,10.2,25,14.57,94.44,0.0,0,0.0,11,2,0.12037037037037036
BAW Mendis (SL),2008-2011,4,22,4.5,15,7.61,68.75,0.0,0,0.0,7,0,0.04861111111111111
Wahab Riaz (PAK),2008-2011,4,15,5.333333333333333,21,7.27,86.02,0.0,0,0.0,6,3,0.0967741935483871
Iftikhar Anjum (PAK),2004-2006,3,12,6.25,19,75.00,58.13,0.0,0,0.0,3,0,0.023255813953488372
CD Collymore (WI),2001-2003,3,17,2.588235294117647,8,4.40,36.66,0.0,0,0.0,0,0,0.0
FH Edwards (WI),2004-2008,5,12,3.3333333333333335,12,10.00,43.47,0.0,0,0.0,3,0,0.03260869565217391
M Ntini (SA),2001-2003,3,11,3.6363636363636362,14,5.00,59.70,0.0,0,0.0,4,1,0.07462686567164178
Yasir Hameed (PAK),2003-2005,3,46,37.108695652173914,127,37.93,68.47,0.06521739130434782,9,0.1956521739130435,187,6,0.07741676694745286
CD McMillan (NZ),2001-2003,3,58,28.689655172413794,105,30.25,77.72,0.034482758620689655,9,0.15517241379310345,137,25,0.07566557683325549
WW Hinds (WI),2001-2003,3,49,27.693877551020407,125,30.15,74.51,0.04081632653061224,9,0.1836734693877551,124,33,0.08621636463481604
HJH Marshall (NZ),2003-2006,4,47,26.361702127659573,101,30.97,72.71,0.02127659574468085,11,0.23404255319148937,85,6,0.0534037558685446
MV Boucher (SA),2001-2003,3,54,21.40740740740741,70,28.90,82.86,0.0,7,0.12962962962962962,88,17,0.07526881720430108
JD Ryder (NZ),2008-2011,4,30,34.7,107,35.89,90.99,0.06666666666666667,5,0.16666666666666666,109,30,0.1215034965034965
SE Marsh (AUS),2008-2010,3,27,37.333333333333336,112,38.76,76.53,0.037037037037037035,7,0.25925925925925924,95,10,0.07972665148063782
HM Amla (SA),2008-2010,3,23,42.130434782608695,140,48.45,84.18,0.043478260869565216,7,0.30434782608695654,99,5,0.09035621198957429
Asad Shafiq (PAK),2010-2012,3,34,27.352941176470587,78,30.00,69.81,0.0,7,0.20588235294117646,81,4,0.06381381381381382
PD Collingwood (ENG),2001-2003,3,37,23.62162162162162,100,32.37,77.00,0.02702702702702703,5,0.13513513513513514,56,10,0.05814977973568282
TD Paine (AUS),2009-2011,3,26,28.346153846153847,111,29.48,68.87,0.038461538461538464,5,0.19230769230769232,86,5,0.08504672897196262
Saleem Elahi (PAK),2001-2003,3,18,40.5,135,40.50,76.25,0.16666666666666666,3,0.16666666666666666,81,1,0.08577405857740586
JM How (NZ),2005-2008,4,18,39.888888888888886,139,42.23,72.96,0.05555555555555555,6,0.3333333333333333,82,5,0.08841463414634146
NJ O'Brien (IRE),2006-2008,3,29,24.413793103448278,72,25.28,64.89,0.0,7,0.2413793103448276,63,3,0.06049495875343722
CJ Ferguson (AUS),2009-2011,3,25,26.52,71,41.43,85.32,0.0,5,0.2,64,0,0.08236808236808237
PA Patel (INDIA),2010-2012,3,24,25.166666666666668,95,27.45,82.06,0.0,4,0.16666666666666666,66,7,0.09918478260869565
HK Badani (INDIA),2001-2003,3,21,21.761904761904763,100,26.88,70.96,0.047619047619047616,1,0.047619047619047616,38,7,0.06987577639751552
Mohammad Nabi (AFG),2009-2011,3,16,26.8125,62,35.75,97.50,0.0,4,0.25,25,22,0.10681818181818181
N Deonarine (WI),2007-2010,4,15,27.933333333333334,65,34.91,76.04,0.0,4,0.26666666666666666,34,6,0.07259528130671507
CA Ingram (SA),2010-2012,3,13,29.846153846153847,124,35.27,90.02,0.15384615384615385,0,0.0,36,6,0.09744779582366589
Javed Omar (BDESH),2001-2003,3,17,18.58823529411765,69,19.75,45.86,0.0,2,0.11764705882352941,31,1,0.04644412191582003
SR Patel (ENG),2008-2011,4,13,23.53846153846154,70,27.81,91.89,0.0,1,0.07692307692307693,21,8,0.08708708708708708
MN Waller (ZIM),2009-2011,3,18,16.27777777777778,63,17.23,76.10,0.0,2,0.1111111111111111,32,2,0.08831168831168831
B Lee (AUS),2001-2003,3,23,10.91304347826087,51,14.76,79.68,0.0,1,0.043478260869565216,9,11,0.06349206349206349
S Randiv (SL),2009-2011,3,15,15.933333333333334,56,17.07,71.55,0.0,1,0.06666666666666667,24,1,0.0748502994011976
BJ Watling (NZ),2010-2012,3,10,23.5,72,26.11,71.21,0.0,3,0.3,22,2,0.07272727272727272
JA Morkel (Afr/SA),2005-2008,4,11,17.818181818181817,97,17.81,89.90,0.0,1,0.09090909090909091,19,6,0.11467889908256881
Mushfiqur Rahman (BDESH),2001-2003,3,11,15.545454545454545,36,19.00,55.51,0.0,0,0.0,18,0,0.05844155844155844
PJ Ongondo (KENYA),2001-2003,3,17,8.294117647058824,36,10.84,77.90,0.0,0,0.0,9,3,0.06629834254143646
Naved-ul-Hasan (PAK),2003-2005,3,14,10.0,29,17.50,73.68,0.0,0,0.0,12,2,0.07368421052631578
RJ Peterson (SA),2002-2006,5,10,9.8,36,10.88,66.21,0.0,0,0.0,8,1,0.060810810810810814
Saqlain Mushtaq (PAK),2001-2003,3,22,4.2272727272727275,13,10.33,44.28,0.0,0,0.0,5,0,0.023809523809523808
MG Johnson (AUS),2005-2008,4,18,5.111111111111111,24,9.20,73.01,0.0,0,0.0,5,2,0.05555555555555555
DW Steyn (SA),2007-2010,4,12,6.833333333333333,35,11.71,102.50,0.0,0,0.0,4,4,0.1
BA Murphy (ZIM),2001-2003,3,14,4.714285714285714,20,8.25,55.00,0.0,0,0.0,5,0,0.041666666666666664
SJ Harmison (ENG),2002-2005,4,14,3.857142857142857,13,10.80,58.69,0.0,0,0.0,2,0,0.021739130434782608
