Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF
HDRL Thirimanne (SL),2010-2013,4,38,26.05263157894737,102,29.11,67.71,0.02631578947368421,0.15789473684210525,
AA Obanda (KENYA),2008-2011,4,34,27.735294117647058,96,28.57,73.84,0.0,0.17647058823529413,
SC Williams (ZIM),2006-2009,4,36,25.805555555555557,75,30.96,72.46,0.0,0.2777777777777778,
Imrul Kayes (BDESH),2008-2010,3,30,29.8,101,29.80,65.35,0.03333333333333333,0.2,
RA Jadeja (INDIA),2009-2012,4,40,21.5,78,28.66,78.61,0.0,0.125,
BB McCullum (NZ),2002-2005,4,51,16.686274509803923,56,22.39,71.51,0.0,0.058823529411764705,
MV Boucher (SA),1998-2000,3,55,15.327272727272728,68,20.56,70.66,0.0,0.10909090909090909,
CJ Chibhabha (ZIM),2006-2010,5,41,20.170731707317074,73,20.17,58.69,0.0,0.14634146341463414,
AC Parore (NZ),1992-1995,4,24,33.625,108,40.35,66.31,0.041666666666666664,0.20833333333333334,
AD Mathews (SL),2008-2011,4,32,24.875,77,34.60,85.13,0.0,0.1875,
ADR Campbell (ZIM),1992-1996,5,35,22.485714285714284,131,23.84,59.71,0.02857142857142857,0.11428571428571428,
RV Uthappa (INDIA),2006-2008,3,34,23.11764705882353,86,27.10,91.92,0.0,0.14705882352941177,
DR Smith (WI),2004-2007,4,52,14.76923076923077,68,15.36,101.58,0.0,0.038461538461538464,
Imran Farhat (PAK),2003-2006,4,22,34.54545454545455,107,36.19,72.58,0.045454545454545456,0.18181818181818182,
Mahmudullah (BDESH),2007-2010,4,33,22.90909090909091,64,34.36,71.93,0.0,0.12121212121212122,
RS Bopara (ENG),2007-2009,3,34,21.970588235294116,60,28.73,71.62,0.0,0.11764705882352941,
Kamran Akmal (PAK),2002-2005,4,28,26.285714285714285,124,32.00,91.65,0.10714285714285714,0.0,
Rajin Saleh (BDESH),2004-2006,3,35,21.02857142857143,108,21.64,53.84,0.02857142857142857,0.11428571428571428,
KA Pollard (WI),2008-2011,4,34,21.058823529411764,94,21.05,104.22,0.0,0.08823529411764706,
AN Cook (ENG),2006-2008,3,23,30.52173913043478,102,30.52,68.15,0.043478260869565216,0.13043478260869565,
H Masakadza (ZIM),2004-2007,4,36,19.333333333333332,75,20.47,64.44,0.0,0.1388888888888889,
D Ganga (WI),1999-2002,4,27,25.59259259259259,71,26.57,61.64,0.0,0.2962962962962963,
Nasir Hossain (BDESH),2011-2013,3,20,34.45,100,45.93,82.02,0.05,0.2,
MF Maharoof (SL),2004-2008,5,47,14.595744680851064,69,19.60,84.06,0.0,0.0425531914893617,
WTS Porterfield (IRE),2006-2008,3,27,25.37037037037037,112,27.40,59.41,0.07407407407407407,0.07407407407407407,
Mashrafe Mortaza (Asia/BDESH),2004-2007,4,42,15.595238095238095,51,19.26,98.34,0.0,0.023809523809523808,
Mohammad Shahzad (AFG),2009-2011,3,16,40.75,118,43.46,91.57,0.1875,0.1875,
DA Gunawardene (SL),1998-2000,3,22,28.818181818181817,132,28.81,85.21,0.045454545454545456,0.13636363636363635,
JP Duminy (SA),2004-2008,5,24,25.75,79,36.35,73.30,0.0,0.125,
KOA Powell (WI),2011-2013,3,20,30.7,83,30.70,79.43,0.0,0.25,
