Player,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF
RK Bhui (Ind19),15,0.13333333333333333,15.266666666666667,17.61,65.99,0.0,0.0,0.07204610951008646
RC Davies (ENG19),15,0.06666666666666667,15.266666666666667,16.35,59.17,0.0,0.06666666666666667,0.046511627906976744
Abhishek Sharma (Ind19),12,0.16666666666666666,18.75,22.50,71.20,0.0,0.0,0.06962025316455696
EWJ Stewart (WI19),10,0.1,21.2,23.55,64.83,0.0,0.1,0.0581039755351682
MK Lomror (Ind19),10,0.3,20.9,29.85,87.08,0.0,0.0,0.07916666666666666
T Banton (ENG19),10,0.0,20.4,20.40,77.56,0.0,0.2,0.09505703422053231
MDE Holden (ENG19),15,0.0,13.533333333333333,13.53,57.50,0.0,0.06666666666666667,0.056657223796033995
WG Jacks (ENG19),11,0.09090909090909091,18.363636363636363,20.20,92.23,0.0,0.09090909090909091,0.1232876712328767
JA Tattersall (ENG19),10,0.0,20.0,20.00,68.96,0.0,0.1,0.06896551724137931
Ikram Faizi (AFG19),11,0.36363636363636365,17.636363636363637,27.71,66.21,0.09090909090909091,0.0,0.05460750853242321
EG Barnard (ENG19),11,0.09090909090909091,17.0,18.70,66.78,0.0,0.09090909090909091,0.06785714285714285
Ishan Kishan (Ind19),12,0.0,15.5,15.50,80.51,0.0,0.08333333333333333,0.11688311688311688
S Snyder (Zim19),10,0.0,18.4,18.40,63.44,0.0,0.2,0.0896551724137931
JL Finnie (NZ19),11,0.09090909090909091,16.181818181818183,17.80,66.41,0.0,0.0,0.0708955223880597
T de Zorzi (SA19),15,0.06666666666666667,11.0,11.78,46.34,0.0,0.0,0.033707865168539325
