Player,Span,Years,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF
S Matsikenyeri (ZIM),2003-2007,4,58,0.06896551724137931,19.844827586206897,21.31,65.99,0.0,0.08620689655172414,0.07568807339449542
IK Pathan (INDIA),2004-2008,4,58,0.1896551724137931,19.844827586206897,24.48,78.78,0.0,0.08620689655172414,0.09582477754962354
Nasir Hossain (BDESH),2011-2015,4,40,0.15,27.525,32.38,80.71,0.025,0.1,0.0813782991202346
DM Bravo (WI),2009-2013,4,44,0.13636363636363635,24.954545454545453,28.89,67.69,0.0,0.1590909090909091,0.06966707768187423
PR Stirling (IRE),2010-2014,4,29,0.0,36.44827586206897,36.44,104.44,0.1724137931034483,0.034482758620689655,0.14723320158102768
DJ Bravo (WI),2004-2007,3,55,0.2545454545454545,18.036363636363635,24.19,79.10,0.01818181818181818,0.03636363636363636,0.07416267942583732
HDRL Thirimanne (SL),2010-2013,3,38,0.10526315789473684,26.05263157894737,29.11,67.71,0.02631578947368421,0.15789473684210525,0.05198358413132695
AA Obanda (KENYA),2008-2011,3,34,0.029411764705882353,27.735294117647058,28.57,73.84,0.0,0.17647058823529413,0.0947533281127643
SC Williams (ZIM),2006-2009,3,36,0.16666666666666666,25.805555555555557,30.96,72.46,0.0,0.2777777777777778,0.059282371294851796
RA Jadeja (INDIA),2009-2012,3,40,0.25,21.5,28.66,78.61,0.0,0.125,0.06672760511882998
BB McCullum (NZ),2002-2005,3,51,0.2549019607843137,16.686274509803923,22.39,71.51,0.0,0.058823529411764705,0.07226890756302522
TWM Latham (NZ),2012-2016,4,34,0.14705882352941177,24.647058823529413,28.89,73.83,0.029411764705882353,0.11764705882352941,0.07753303964757709
CJ Chibhabha (ZIM),2006-2010,4,41,0.0,20.170731707317074,20.17,58.69,0.0,0.14634146341463414,0.048970901348474094
AD Mathews (SL),2008-2011,3,32,0.28125,24.875,34.60,85.13,0.0,0.1875,0.06844919786096257
DR Smith (WI),2004-2007,3,52,0.038461538461538464,14.76923076923077,15.36,101.58,0.0,0.038461538461538464,0.12962962962962962
KOA Powell (WI),2011-2014,3,26,0.0,29.5,29.50,81.85,0.0,0.2692307692307692,0.10885805763073639
Imran Farhat (PAK),2003-2006,3,22,0.045454545454545456,34.54545454545455,36.19,72.58,0.045454545454545456,0.18181818181818182,0.0936007640878701
Mahmudullah (BDESH),2007-2010,3,33,0.3333333333333333,22.90909090909091,34.36,71.93,0.0,0.12121212121212122,0.05708848715509039
Kamran Akmal (PAK),2002-2005,3,28,0.17857142857142858,26.285714285714285,32.00,91.65,0.10714285714285714,0.0,0.1133250311332503
KA Pollard (WI),2008-2011,3,34,0.0,21.058823529411764,21.05,104.22,0.0,0.08823529411764706,0.11353711790393013
H Masakadza (ZIM),2004-2007,3,36,0.05555555555555555,19.333333333333332,20.47,64.44,0.0,0.1388888888888889,0.06018518518518518
MF Maharoof (SL),2004-2008,4,47,0.2553191489361702,14.595744680851064,19.60,84.06,0.0,0.0425531914893617,0.09436274509803921
Mashrafe Mortaza (Asia/BDESH),2004-2007,3,42,0.19047619047619047,15.595238095238095,19.26,98.34,0.0,0.023809523809523808,0.11561561561561562
JP Duminy (SA),2004-2008,4,24,0.2916666666666667,25.75,36.35,73.30,0.0,0.125,0.06168446026097272
D Ramdin (WI),2005-2009,4,43,0.3023255813953488,13.813953488372093,19.80,79.41,0.0,0.046511627906976744,0.07219251336898395
Mominul Haque (BDESH),2012-2015,3,24,0.041666666666666664,22.625,23.60,74.58,0.0,0.125,0.08241758241758242
RR Patel (KENYA),2009-2013,4,26,0.15384615384615385,20.26923076923077,23.95,65.30,0.0,0.07692307692307693,0.07187112763320942
P Utseya (ZIM),2005-2009,4,53,0.32075471698113206,9.679245283018869,14.25,53.21,0.0,0.03773584905660377,0.03734439834024896
TJ Friend (ZIM),2001-2004,3,32,0.0625,15.96875,17.03,78.37,0.0,0.09375,0.09049079754601227
NLTC Perera (SL),2009-2013,4,39,0.1794871794871795,12.974358974358974,15.81,110.48,0.0,0.02564102564102564,0.12008733624454149
Javed Ahmadi (AFG),2012-2015,3,18,0.0,27.166666666666668,27.16,88.42,0.0,0.2777777777777778,0.12296564195298372
