Player,Span,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF
Naeemuddin Aslam (UAE),2004-2004,2,0.0,6.0,6.00,38.70,0.0,0.0,0.0
RE van der Merwe (SA),2009-2010,1,0.0,12.0,12.00,109.09,0.0,0.0,0.18181818181818182
J Blackwood (WI),2015-2015,2,0.0,5.5,5.50,47.82,0.0,0.0,0.043478260869565216
GB Brent (ZIM),2001-2001,1,0.0,11.0,11.00,64.70,0.0,0.0,0.058823529411764705
LJ Burger (NAM),2003-2003,6,0.16666666666666666,1.8333333333333333,2.20,17.74,0.0,0.0,0.016129032258064516
AL Phehlukwayo (SA),2016-2016,1,0.0,11.0,11.00,122.22,0.0,0.0,0.1111111111111111
Suhrawadi Shuvo (BDESH),2010-2010,1,0.0,11.0,11.00,61.11,0.0,0.0,0.05555555555555555
TR Ambrose (ENG),2008-2008,4,0.25,2.25,3.00,32.14,0.0,0.0,0.0
PG Fulton (NZ),2004-2004,1,0.0,9.0,9.00,90.00,0.0,0.0,0.2
Mohammad Sami (PAK),2004-2004,1,1.0,9.0,-,300.00,0.0,0.0,0.3333333333333333
Sohail Tanvir (PAK),2007-2008,2,0.5,4.5,9.00,128.57,0.0,0.0,0.14285714285714285
VB van Jaarsveld (SA),2009-2009,2,0.0,4.5,4.50,60.00,0.0,0.0,0.0
Iftikhar Ahmed (PAK),2015-2015,2,0.0,4.0,4.00,25.80,0.0,0.0,0.03225806451612903
JPR Lamsam (HKG),2004-2004,1,0.0,8.0,8.00,47.05,0.0,0.0,0.058823529411764705
B Lee (AUS),2001-2002,2,0.5,4.0,8.00,88.88,0.0,0.0,0.1111111111111111
MV Nagamootoo (WI),2001-2001,2,0.0,4.0,4.00,100.00,0.0,0.0,0.125
Skhawat Ali (HKG),2008-2008,2,0.0,4.0,4.00,34.78,0.0,0.0,0.043478260869565216
V Shetty (UAE),2008-2008,1,0.0,7.0,7.00,41.17,0.0,0.0,0.0
JK Kamande (KENYA),2002-2002,2,0.0,3.0,3.00,13.33,0.0,0.0,0.022222222222222223
RD McCann (IRE),2010-2010,1,0.0,6.0,6.00,17.14,0.0,0.0,0.0
AR Pitcher (BMUDA),2006-2006,3,0.0,2.0,2.00,17.14,0.0,0.0,0.0
TT Samaraweera (SL),2001-2002,2,0.0,3.0,3.00,31.57,0.0,0.0,0.0
Mansoor Amjad (PAK),2008-2008,1,0.0,5.0,5.00,50.00,0.0,0.0,0.0
D Soraine (CAN),2006-2006,1,0.0,5.0,5.00,83.33,0.0,0.0,0.0
Harbhajan Singh (INDIA),2001-2005,2,0.0,1.5,1.50,23.07,0.0,0.0,0.0
TJ Heggelman (NL),2010-2010,2,0.0,1.5,1.50,17.64,0.0,0.0,0.0
CK Kruger (HKG),2008-2008,2,0.0,1.5,1.50,15.00,0.0,0.0,0.0
Mazharul Haque (BDESH),2002-2002,1,0.0,3.0,3.00,16.66,0.0,0.0,0.0
AO Suji (KENYA),2001-2001,1,0.0,3.0,3.00,33.33,0.0,0.0,0.0
Ahmed Shah (AFG),2009-2009,1,0.0,2.0,2.00,20.00,0.0,0.0,0.0
Bilawal Bhatti (PAK),2013-2013,2,0.5,1.0,2.00,20.00,0.0,0.0,0.0
SCJ Broad (ENG),2009-2009,1,0.0,2.0,2.00,40.00,0.0,0.0,0.0
JEC Franklin (NZ),2005-2006,1,0.0,2.0,2.00,50.00,0.0,0.0,0.0
JN Mohammed (WI),2011-2011,1,0.0,2.0,2.00,9.52,0.0,0.0,0.0
GMC Mol (NL),2008-2008,1,1.0,2.0,-,40.00,0.0,0.0,0.0
HJC Mol (NL),2002-2003,2,0.0,1.0,1.00,6.45,0.0,0.0,0.0
TV Mufambisi (ZIM),2007-2007,1,0.0,2.0,2.00,100.00,0.0,0.0,0.0
ACL Richards (WI),2007-2007,1,0.0,2.0,2.00,100.00,0.0,0.0,0.0
JNK Shannon (IRE),2013-2013,1,0.0,2.0,2.00,25.00,0.0,0.0,0.0
TG Southee (NZ),2012-2012,1,0.0,2.0,2.00,66.66,0.0,0.0,0.0
Tanbir Hayder (BDESH),2016-2016,1,0.0,2.0,2.00,40.00,0.0,0.0,0.0
AR Adams (NZ),2001-2001,1,0.0,1.0,1.00,11.11,0.0,0.0,0.0
Joginder Sharma (INDIA),2007-2007,1,0.0,1.0,1.00,16.66,0.0,0.0,0.0
AK Perera (SL),2013-2013,1,0.0,1.0,1.00,20.00,0.0,0.0,0.0
RR Ramdass (WI),2005-2005,1,0.0,1.0,1.00,11.11,0.0,0.0,0.0
SM Sharif (SCOT),2011-2011,1,1.0,1.0,-,33.33,0.0,0.0,0.0
RG Aga (KENYA),2004-2004,1,0.0,0.0,0.00,0.00,0.0,0.0,0.0
Azhar Mahmood (PAK),2001-2001,1,0.0,0.0,0.00,0.00,0.0,0.0,0.0
M Cheruparambil (HKG),2004-2004,1,0.0,0.0,0.00,0.00,0.0,0.0,0.0
R Flannigan (SCOT),2010-2010,1,0.0,0.0,0.00,0.00,0.0,0.0,0.0
HAPW Jayawardene (SL),2003-2003,1,0.0,0.0,0.00,0.00,0.0,0.0,0.0
DI Joyce (IRE),2006-2006,1,0.0,0.0,0.00,0.00,0.0,0.0,0.0
